time,accx,accy,accz
5,   174,    12,   -92
10,   114,    21,   -39
19,    84,    23,     7
24,    47,    17,    33
29,    26,    24,    46
33,     9,    22,    51
38,    -7,    19,    62
43,   -15,    14,    77
48,   -21,    16,    95
53,    -2,    20,    88
58,    -4,    20,    89
63,   -10,    19,    91
67,   -23,    28,    93
72,   -34,    36,    89
77,   -48,    37,    83
84,  -115,    18,    91
93,   -17,    29,    17
101,   -15,    37,    19
109,   -13,    30,    15
117,   -21,    45,    15
125,   -28,    68,     8
133,   -46,    88,     2
141,   -34,    32,   -50
149,   -34,    18,   -77
157,   -41,    41,   -57
165,   -34,    35,   -49
173,   -33,    25,   -50
181,   -29,    12,   -40
186,   -23,     7,   -49
191,   -26,    10,   -32
196,   -28,     3,   -34
201,   -29,     5,   -30
205,   -29,     5,   -25
210,   -25,     8,   -24
217,   -24,     7,   -29
227,   -23,    11,   -31
237,   -29,    14,   -30
247,   -24,    14,   -40
257,   -20,    16,   -51
267,   -21,    19,   -54
277,   -21,    15,   -53
287,   -22,    11,   -56
297,   -19,    13,   -48
307,   -23,    18,   -36
317,   -29,    27,   -30
327,   -28,    33,   -17
337,   -29,    28,   -16
347,   -33,     5,   -24
357,   -40,   -40,   -34
367,   -39,   -44,   -34
377,   -42,   -11,   -25
387,   -78,   -63,   -47
397,   -91,   -45,   -51
407,   -48,     2,   -72
417,   -56,   -16,   -71
427,   -80,   -38,   -56
437,   -68,   -38,   -36
447,    -8,    19,   -49
457,    28,    60,   -33
467,     4,    54,   -19
477,    82,   109,    20
487,    52,    80,    13
497,    42,    32,   -10
507,    25,    51,   -28
517,    16,    49,   -33
527,    13,    30,   -57
537,     1,    43,   -43
547,    21,   -47,     8
557,    -2,    58,   -23
567,    -5,    13,   -15
577,    -7,    -3,   -14
587,   -10,    11,   -37
597,   -13,    10,   -37
607,   -19,    16,   -32
617,   -23,    12,   -23
627,   -24,    23,   -19
637,   -22,    17,   -12
647,   -22,    19,   -11
657,   -20,    15,   -22
667,   -19,    13,   -34
677,   -18,    12,   -40
687,   -18,    14,   -45
697,   -17,    14,   -40
707,   -17,    10,   -30
717,   -17,     8,   -22
727,   -18,     0,   -22
737,   -23,     6,   -28
747,   -23,     8,   -39
757,   -23,    12,   -39
767,   -19,     6,   -46
777,   -22,    10,   -42
787,   -20,    13,   -40
797,   -18,    16,   -33
807,   -16,    14,   -32
817,   -12,    15,   -42
827,   -10,    20,   -58
837,   -10,    18,   -74
848,   -14,    19,   -70
858,   -20,    22,   -59
867,   -18,    19,   -41
877,   -20,    22,   -25
887,   -27,    16,    -9
900,   -26,    16,   -22
910,   -21,    14,   -38
920,   -19,     7,   -46
930,   -18,     5,   -52
941,   -18,     6,   -50
951,   -14,    10,   -43
961,   -13,     9,   -41
971,    -9,    13,   -43
981,   -10,    17,   -50
991,   -11,    17,   -59
1001,   -14,    14,   -64
1010,   -15,    12,   -54
1021,   -11,     8,   -35
1031,   -13,     6,   -23
1041,   -16,     5,   -14
1051,   -13,     6,   -17
1060,   -14,     6,   -32
1070,    -9,     3,   -43
1080,   -10,     8,   -50
1091,    -6,     9,   -45
1098,    -6,     8,   -41
1108,    -6,    10,   -32
1118,    -8,    11,   -30
1127,   -10,     6,   -37
1137,    -6,    10,   -42
1148,    -3,    14,   -51
1157,    -9,    17,   -51
1168,    -7,    15,   -43
1177,    -5,    14,   -35
1187,    -4,    11,   -21
1197,    -7,    11,   -11
1208,    -8,     9,   -21
1218,    -9,     8,   -33
1227,   -11,     8,   -43
1237,    -9,     8,   -44
1248,    -9,     7,   -39
1257,   -10,    11,   -30
1268,   -10,    14,   -32
1277,   -10,    11,   -31
1288,   -11,     7,   -42
1298,   -14,     4,   -49
1307,   -13,     8,   -57
1318,   -13,    13,   -51
1328,   -13,     8,   -42
1338,   -17,     8,   -32
1348,   -19,     8,   -27
1357,   -17,     8,   -27
1368,   -13,     8,   -32
1378,   -13,     8,   -47
1388,    -9,    11,   -48
1398,    -8,     8,   -41
1408,    -9,    10,   -36
1417,   -10,    11,   -32
1428,   -16,    14,   -34
1438,   -16,    11,   -35
1448,   -11,    12,   -35
1458,   -11,    10,   -34
1468,   -12,    10,   -42
1478,   -11,     7,   -43
1488,    -9,     9,   -35
1498,    -6,    11,   -28
1508,    -7,    10,   -28
1518,   -12,    10,   -26
1528,   -14,     8,   -32
1538,    -9,     4,   -39
1548,    -5,     2,   -43
1558,    -4,    -1,   -43
1568,   -10,     0,   -39
1578,   -11,     0,   -33
1588,    -7,     0,   -28
1598,   -12,     2,   -31
1608,   -10,     4,   -31
1618,    -6,     9,   -38
1628,    -7,     8,   -37
1638,    -7,     8,   -37
1648,    -8,    11,   -35
1658,   -13,    15,   -33
1668,   -11,    15,   -39
1678,    -8,    13,   -37
1688,    -8,    13,   -41
1698,    -5,     8,   -42
1708,    -3,     7,   -47
1718,    -5,     8,   -45
1728,    -4,     8,   -44
1738,    -9,     8,   -43
1748,    -8,     3,   -42
1758,    -7,     5,   -44
1768,    -6,     6,   -46
1778,    -5,    11,   -50
1788,    -9,     9,   -43
1798,    -6,    12,   -42
1812,   -12,    11,   -40
1822,   -12,     7,   -38
1833,   -15,    10,   -41
1843,   -12,     9,   -44
1852,   -12,     6,   -48
1862,    -6,     6,   -45
1872,    -5,     2,   -40
1882,    -5,    -2,   -33
1892,    -7,    -4,   -25
1901,    -8,    -5,   -27
1910,    -8,     0,   -31
1920,    -7,     3,   -32
1931,    -9,     3,   -37
1941,    -9,     3,   -42
1950,   -12,     1,   -45
1961,   -15,     0,   -35
1971,    -7,    -2,   -29
1981,    -6,     2,   -36
1990,    -6,     6,   -46
2000,    -1,     3,   -53
2011,    -2,     4,   -62
2021,    -7,     7,   -64
2030,    -5,     7,   -60
2040,    -1,     8,   -45
2051,     0,     9,   -43
2061,    -4,    12,   -46
2071,    -7,    12,   -45
2081,    -7,    11,   -42
2091,    -6,    10,   -43
2100,    -4,     7,   -30
2111,    -4,     5,   -26
2122,    -7,     2,   -22
2132,    -4,     0,   -23
2141,    -3,     2,   -25
2151,    -6,     0,   -34
2161,    -6,     0,   -34
2171,    -3,    -4,   -37
2181,    -4,     0,   -37
2191,    -4,     2,   -34
2202,    -5,    -2,   -39
2212,    -8,    -5,   -36
2221,   -11,     0,   -34
2231,    -7,     2,   -35
2241,   -10,     0,   -41
2251,    -6,    -5,   -35
2261,    -4,     1,   -31
2271,    -5,     5,   -31
2281,    -2,     6,   -34
2292,     1,     6,   -38
2302,     0,     8,   -39
2311,     2,     6,   -50
2320,     4,     6,   -54
2331,     3,     3,   -51
2341,     0,     4,   -49
2351,    -2,     5,   -36
2361,    -7,     8,   -26
2371,    -7,    15,   -29
2381,    -7,    14,   -32
2391,    -8,    10,   -34
2401,    -4,     6,   -41
2411,    -2,     2,   -37
2421,    -5,     0,   -39
2431,    -9,    -1,   -35
2441,    -4,     4,   -29
2451,    -4,     5,   -30
2462,    -5,     4,   -31
2472,    -1,     3,   -44
2482,    -5,     1,   -44
2492,     0,    -1,   -42
2502,    -1,    -2,   -38
2512,     0,     0,   -40
2522,     0,    -2,   -37
2532,    -4,    -5,   -38
2542,    -8,    -3,   -39
2552,    -8,     0,   -40
2563,    -2,     0,   -42
2572,     0,     0,   -43
2582,     2,    -2,   -39
2592,    -3,     0,   -37
2601,    -6,    -2,   -39
2609,    -4,     7,   -34
2619,    -7,     6,   -40
2629,   -11,     5,   -44
