time,accx,accy,accz
5,     3,    -4,    59
10,   -47,    81,   146
15,    10,    46,    15
19,     5,    52,    19
24,     8,    30,    43
29,     4,    13,    51
34,     7,     3,    57
39,     2,     0,    79
44,     0,     5,   114
50,    -9,     9,   179
55,   -17,    18,   215
59,   -27,    29,   264
64,   -50,    12,   308
69,   -61,     2,   322
74,   -70,   -28,   332
79,   -79,   -49,   337
84,   -88,   -68,   327
88,  -116,   101,   171
95,  -173,    -7,   623
100,   -77,  -102,   419
105,  -271,   256,     0
109,   -16,   418,  -864
114,   -56,    50,  -247
119,  -212,   165,   373
124,    63,    20,  -488
129,    24,     2,  -360
134,  -124,    45,   307
139,     1,   -10,  -112
143,     9,   -19,  -110
148,   -42,    -4,   127
153,     4,   -17,   -18
162,    -3,    -8,    18
172,   -13,    -3,    76
183,     7,     1,    18
193,    -2,     6,    48
202,    -2,    -3,    61
213,     3,   -11,    41
222,     8,   -11,    57
233,     6,   -15,    59
242,     0,   -14,    53
253,    -5,   -13,    58
262,    -4,   -11,    52
273,     0,   -10,    47
282,     3,   -11,    43
292,     1,   -10,    37
303,    -4,   -12,    37
312,    -5,   -11,    35
323,    -5,   -12,    37
332,   -10,   -13,    38
343,   -12,   -14,    42
353,   -10,   -12,    51
363,    -8,   -13,    58
373,    -7,    -8,    64
383,    -6,   -10,    62
392,    -7,   -15,    57
403,    -3,   -14,    49
412,     0,   -14,    50
423,     0,   -15,    46
432,     0,   -19,    55
442,     0,   -20,    57
453,    -7,   -21,    66
462,   -10,   -22,    72
473,    -6,   -19,    63
483,    -6,   -13,    50
493,    -4,   -13,    42
503,     3,    -7,    32
512,     4,    -6,    18
523,     0,    -6,    23
533,    -1,    -4,    25
543,     1,    -7,    23
553,     4,    -4,    27
563,    -1,     5,    45
573,   -11,     0,    60
583,    -8,    -2,    66
593,   -14,     1,    70
602,    -7,     4,    63
613,   -10,     5,    59
623,    -7,    15,    36
633,     0,    15,    54
643,     0,    10,    89
656,     6,     2,    93
668,    15,    -2,    85
678,     7,    -8,   120
688,     9,   -15,   118
698,     7,   -21,   125
708,   -10,   -52,   200
718,   -75,  -198,   556
729,   -38,    47,   123
739,    60,    91,  -325
749,    66,   -84,  -138
759,   -24,   -49,   152
770,     5,    -8,    58
780,    55,   -15,  -125
790,    26,     0,   -81
800,     1,   -26,    45
810,     9,   -33,    31
821,    22,   -13,    -7
831,    12,   -16,    16
841,     4,   -23,    55
851,     2,   -14,    43
861,    12,     0,    10
871,    16,     2,     1
882,     7,     1,    32
895,    -3,     3,    37
905,     2,     3,    34
916,     2,     3,    33
926,    -1,     4,    43
936,    -2,    -4,    50
946,    -5,   -13,    58
957,    -6,   -11,    59
966,    -3,    -8,    48
975,    -1,    -5,    59
984,     0,    -8,    59
993,    -7,   -12,    54
1002,    -7,   -14,    50
1011,   -10,   -11,    50
1020,   -10,    -7,    47
1028,    -4,    -6,    48
1037,    -3,    -7,    41
1047,    -1,    -5,    46
1057,    -1,    -4,    49
1068,    -6,    -4,    42
1079,    -9,    -4,    35
1089,    -8,    -9,    43
1099,    -7,   -17,    43
1109,    -6,   -15,    44
1119,    -1,   -16,    45
1129,    -6,   -17,    50
1140,    -5,    -7,    47
1150,     0,    -6,    45
1160,    -2,    -3,    53
1170,    -1,    -7,    56
1181,    -2,    -9,    53
1191,    -1,     1,    40
1201,     0,     0,    41
1211,    -1,   -11,    63
1221,    -1,   -11,    60
1232,     0,    -6,    50
1242,     2,   -11,    60
1252,     0,    -5,    57
1262,     4,    -4,    46
1272,     3,    -7,    49
1282,    -3,    -9,    56
1293,    -6,    -7,    60
1303,     0,   -10,    52
1313,     0,   -11,    51
1323,     0,   -13,    43
1333,     2,   -12,    51
1344,    -3,    -8,    49
1354,    -1,    -5,    50
1364,    -5,    -5,    43
1374,    -8,    -5,    46
1385,    -4,   -11,    52
1395,    -8,   -13,    49
1405,    -3,   -12,    49
1415,    -5,   -12,    49
1425,    -5,    -9,    50
1435,    -6,   -10,    46
1446,    -7,    -8,    48
1456,    -5,    -3,    48
1466,    -5,     0,    57
1476,   -10,    -1,    51
1487,    -5,    -1,    51
1497,    -4,    -3,    55
1507,    -3,    -5,    57
1518,    -5,    -9,    60
1528,    -1,    -9,    59
1538,    -6,   -11,    56
1548,    -5,   -11,    54
1558,    -5,    -6,    55
1568,    -3,    -8,    49
1579,     0,    -9,    48
1589,    -1,    -6,    48
1600,     1,   -15,    42
1610,    17,    22,     0
1620,    30,    65,   -45
1630,    33,    44,    25
1641,     4,    26,    82
1651,   -10,     3,    71
1661,   -17,   -28,    86
1671,   -24,   -64,   127
1681,   -33,   -74,   178
1694,   -79,  -112,   175
1705,     0,   -19,   -34
1715,    46,    66,   -81
1725,    -5,   -13,    98
1735,   -31,   -54,    95
1746,    10,     5,   -51
1756,    15,    18,     7
1766,   -16,   -21,   134
1776,    -4,   -13,    45
1785,    17,    12,   -26
1794,     3,    -4,    69
1802,   -12,   -18,   107
1811,     3,    -5,    23
1820,    10,     0,    23
1829,    -3,   -10,    97
1838,    -2,    -9,    66
1847,     4,    -1,    16
1856,    -1,    -4,    47
1865,    -3,   -11,    75
1874,     0,    -3,    46
1884,     0,     0,    43
1895,    -7,    -5,    72
1905,    -4,     3,    63
1915,    -1,     5,    45
1925,    -4,    -1,    50
1935,    -7,    -1,    56
1946,     2,     8,    30
1956,     0,    -3,    31
1966,    -2,   -10,    67
1976,     0,    -4,    51
1987,    -1,   -11,    58
1997,    -1,    -3,    58
2007,     0,     2,    44
2018,     3,    -8,    34
2028,     5,     4,    17
2038,     2,    12,    10
2048,     5,     5,    16
2058,    -5,   -11,    28
