time,accx,accy,accz
5,  -224,    95,  8185
10,  -233,    54,  8178
15,  -243,    27,  8174
20,  -242,     3,  8157
24,  -253,    -8,  8155
29,  -260,   -10,  8154
34,  -260,   -19,  8148
39,  -271,   -17,  8155
44,  -272,   -24,  8157
49,  -279,   -19,  8169
54,  -281,   -18,  8173
59,  -277,   -27,  8159
63,  -273,   -20,  8144
68,  -278,    -2,  8155
73,  -382,   323,  8109
78,  -426,   381,  8122
82,  -354,   190,  8131
87,  -278,   -40,  8163
92,  -280,   -25,  8010
97,  -231,  -195,  8154
102,  -211,  -236,  8169
106,  -231,  -182,  8183
111,  -250,  -119,  8202
116,  -239,  -114,  8178
120,  -230,  -134,  8155
125,  -207,  -140,  8127
130,  -212,  -103,  8153
135,  -202,  -103,  8119
140,  -190,   -83,  8114
144,  -192,   -81,  8126
149,  -187,   -83,  8127
154,  -188,   -82,  8125
161,  -190,   -79,  8129
172,  -188,   -82,  8138
181,  -191,   -87,  8146
192,  -192,   -87,  8140
201,  -188,   -88,  8137
212,  -191,   -84,  8142
222,  -191,   -76,  8141
232,  -194,   -77,  8146
242,  -192,   -80,  8136
252,  -196,   -83,  8139
262,  -200,   -82,  8143
271,  -203,   -82,  8153
282,  -194,   -83,  8145
292,  -190,   -84,  8140
302,  -185,   -82,  8142
312,  -187,   -81,  8138
322,  -189,   -80,  8135
332,  -193,   -79,  8142
342,  -194,   -77,  8146
352,  -189,   -75,  8147
361,  -183,   -81,  8146
372,  -178,   -87,  8151
381,  -181,   -87,  8151
392,  -185,   -90,  8160
401,  -190,   -88,  8168
412,  -186,   -89,  8170
422,  -181,   -92,  8160
432,  -183,   -93,  8150
442,  -182,   -89,  8153
452,  -176,   -90,  8143
462,  -178,   -88,  8151
472,  -183,   -90,  8152
482,  -190,   -93,  8156
492,  -195,   -96,  8159
502,  -191,   -99,  8157
512,  -190,   -97,  8148
522,  -192,   -91,  8147
532,  -193,   -89,  8142
542,  -194,   -90,  8143
552,  -192,   -90,  8147
562,  -189,   -87,  8148
572,  -189,   -85,  8147
582,  -190,   -81,  8153
592,  -192,   -77,  8150
602,  -188,   -71,  8149
612,  -189,   -77,  8148
622,  -193,   -83,  8154
632,  -191,   -83,  8151
642,  -185,   -79,  8149
652,  -187,   -77,  8147
667,  -184,   -76,  8148
678,  -186,   -73,  8152
688,  -185,   -73,  8155
698,  -183,   -77,  8153
708,  -187,   -79,  8155
719,  -193,   -81,  8161
729,  -193,   -81,  8159
739,  -196,   -77,  8159
749,  -195,   -76,  8165
760,  -198,   -77,  8156
769,  -197,   -81,  8151
778,  -191,   -81,  8150
786,  -189,   -80,  8144
796,  -189,   -77,  8141
806,  -187,   -78,  8145
816,  -184,   -83,  8151
826,  -189,   -82,  8148
836,  -184,   -77,  8146
846,  -187,   -76,  8147
856,  -193,   -78,  8150
866,  -193,   -80,  8152
876,  -190,   -83,  8152
886,  -191,   -80,  8153
896,  -187,   -79,  8146
907,  -183,   -77,  8145
916,  -180,   -82,  8143
926,  -182,   -79,  8141
936,  -184,   -78,  8148
946,  -187,   -75,  8150
956,  -188,   -71,  8150
966,  -187,   -74,  8151
976,  -191,   -69,  8150
986,  -187,   -67,  8153
996,  -190,   -68,  8154
1006,  -189,   -67,  8151
1016,  -188,   -68,  8151
1026,  -188,   -72,  8146
1037,  -187,   -76,  8154
1046,  -186,   -78,  8152
1056,  -185,   -80,  8150
1067,  -185,   -82,  8149
1077,  -185,   -82,  8153
1088,  -189,   -76,  8156
1098,  -184,   -70,  8151
1108,  -184,   -76,  8150
1118,  -187,   -80,  8154
1129,  -192,   -81,  8155
1139,  -187,   -82,  8152
1149,  -190,   -83,  8144
1159,  -192,   -90,  8147
1168,  -192,   -86,  8146
1177,  -189,   -89,  8147
1186,  -190,   -94,  8142
1196,  -188,   -93,  8136
1206,  -189,  -101,  8145
1216,  -192,   -98,  8152
1226,  -197,   -97,  8150
1236,  -194,   -92,  8150
1246,  -192,   -90,  8151
1256,  -194,   -91,  8159
1267,  -193,   -92,  8149
1277,  -196,   -97,  8148
1287,  -200,   -85,  8162
1298,  -196,   -80,  8169
1308,  -179,   -56,  8156
1318,  -179,   -26,  8164
1328,  -214,   -43,  8149
1339,  -233,   -40,  8130
1349,  -233,   -78,  8131
1359,  -223,   -88,  8140
1368,  -214,  -100,  8126
1377,  -209,   -95,  8130
1387,  -207,  -102,  8145
1397,  -213,   -90,  8141
1407,  -215,   -87,  8169
1417,  -214,  -114,  8188
1427,  -210,  -113,  8172
1437,  -206,  -108,  8150
1447,  -195,  -117,  8128
1457,  -195,  -109,  8144
1467,  -201,   -94,  8151
1478,  -200,   -91,  8146
1488,  -197,  -101,  8151
1499,  -202,  -101,  8157
1509,  -195,  -115,  8185
1519,  -193,  -119,  8158
1529,  -180,  -109,  8183
1539,  -173,   -90,  8188
1549,  -216,  -101,  8178
1560,  -229,  -104,  8182
1569,  -228,  -109,  8179
1578,  -238,  -112,  8167
1587,  -237,  -103,  8156
1597,  -231,  -101,  8161
1607,  -216,   -96,  8159
1617,  -226,   -90,  8169
1627,  -233,   -91,  8164
1637,  -227,   -85,  8146
1647,  -223,   -78,  8150
1657,  -226,   -74,  8143
1667,  -252,   -62,  8155
1678,  -262,   -61,  8148
1688,  -257,   -67,  8158
1699,  -241,   -80,  8163
1709,  -213,   -84,  8161
1719,  -210,   -86,  8150
1729,  -231,   -84,  8150
1739,  -247,   -79,  8153
1752,  -251,   -72,  8151
1763,  -246,   -71,  8149
1773,  -244,   -67,  8146
1783,  -243,   -66,  8142
1792,  -240,   -64,  8146
1802,  -239,   -67,  8146
1815,  -243,   -72,  8157
1824,  -241,   -76,  8158
1833,  -236,   -77,  8166
1842,  -226,   -76,  8156
1851,  -224,   -78,  8149
1860,  -222,   -77,  8149
1869,  -221,   -78,  8152
1878,  -218,   -76,  8153
1886,  -223,   -68,  8145
1897,  -229,   -58,  8139
1907,  -230,   -53,  8138
1918,  -225,   -53,  8140
1926,  -221,   -56,  8145
1937,  -226,   -52,  8146
1948,  -229,   -47,  8147
1957,  -229,   -47,  8151
1967,  -226,   -46,  8150
1977,  -228,   -54,  8151
1987,  -220,   -61,  8145
1997,  -218,   -59,  8145
2008,  -221,   -35,  8162
2018,  -210,   -67,  8152
2027,  -211,   -79,  8145
2037,  -217,   -86,  8152
2047,  -218,   -93,  8154
2057,  -219,   -97,  8161
2067,  -225,   -92,  8163
2078,  -232,   -87,  8170
2089,  -231,   -88,  8164
2099,  -225,   -86,  8163
2109,  -221,   -86,  8156
2119,  -216,   -83,  8145
2129,  -213,   -75,  8135
2140,  -214,   -68,  8144
2150,  -218,   -73,  8147
2160,  -223,   -64,  8149
2170,  -224,   -61,  8151
2180,  -222,   -61,  8146
2191,  -228,   -56,  8150
2201,  -218,   -62,  8153
2211,  -220,   -62,  8158
2221,  -221,   -57,  8161
2232,  -220,   -56,  8153
2242,  -223,   -51,  8152
2252,  -221,   -51,  8152
2262,  -215,   -59,  8145
2273,  -212,   -67,  8147
2283,  -215,   -66,  8150
2293,  -219,   -67,  8148
2303,  -220,   -69,  8153
2313,  -217,   -75,  8168
2324,  -220,   -78,  8176
2334,  -228,   -79,  8175
2344,  -225,   -77,  8165
2354,  -227,   -73,  8158
2364,  -226,   -70,  8156
2375,  -225,   -72,  8153
2385,  -223,   -78,  8147
2395,  -216,   -71,  8144
2405,  -216,   -67,  8132
2416,  -218,   -68,  8135
2426,  -221,   -70,  8136
2436,  -218,   -73,  8136
2446,  -222,   -68,  8147
2457,  -227,   -65,  8155
2467,  -229,   -60,  8152
2477,  -230,   -58,  8145
2487,  -226,   -61,  8143
2497,  -217,   -63,  8141
2508,  -218,   -66,  8141
2518,  -223,   -65,  8143
2528,  -223,   -65,  8152
2538,  -223,   -63,  8157
2549,  -226,   -62,  8156
2559,  -228,   -61,  8156
2569,  -231,   -58,  8153
2579,  -225,   -59,  8143
2589,  -223,   -57,  8138
2600,  -216,   -58,  8132
2610,  -212,   -60,  8137
2620,  -212,   -63,  8139
2631,  -216,   -65,  8147
2641,  -223,   -73,  8155
2651,  -230,   -68,  8169
2661,  -233,   -66,  8171
2672,  -232,   -72,  8160
2682,  -225,   -70,  8150
2692,  -222,   -65,  8156
2703,  -218,   -66,  8150
2713,  -219,   -67,  8145
2723,  -225,   -70,  8136
2733,  -223,   -68,  8139
2744,  -225,   -67,  8132
2754,  -220,   -69,  8136
2764,  -218,   -69,  8139
2775,  -224,   -68,  8145
2785,  -222,   -75,  8149
2794,  -220,   -78,  8145
2803,  -218,   -75,  8141
2812,  -219,   -77,  8141
2821,  -219,   -75,  8140
2830,  -220,   -74,  8139
2839,  -216,   -73,  8148
2847,  -220,   -69,  8159
2856,  -217,   -67,  8155
2865,  -216,   -75,  8152
2874,  -210,   -78,  8149
2883,  -212,   -83,  8143
2893,  -214,   -87,  8137
2904,  -216,   -86,  8140
2914,  -217,   -86,  8143
2925,  -223,   -85,  8141
2935,  -224,   -87,  8140
2945,  -222,   -86,  8144
2955,  -221,   -79,  8145
2966,  -219,   -73,  8156
2976,  -219,   -78,  8158
2986,  -221,   -82,  8160
2995,  -221,   -84,  8169
3005,  -219,   -72,  8166
3013,  -222,   -65,  8157
3022,  -219,   -53,  8148
3031,  -208,     1,  8121
3040,  -221,   -34,  8133
3050,  -217,   -61,  8130
3059,  -224,   -42,  8146
3068,  -222,   -20,  8155
3078,  -233,   -13,  8155
3088,  -235,    -8,  8161
3098,  -232,   -10,  8177
3108,  -223,    42,  8175
3118,  -157,    35,  8202
3128,   -32,   -22,  8207
3138,    77,   100,  8000
3148,   418,   408,  8048
3158,   257,   289,  8416
3168,    38,    21,  8984
3178,   140,   135,  9214
3188,   354,   343,  9306
3198,   491,   351,  9432
3208,   590,   246,  9569
3218,   687,   201,  9559
3228,   793,   217,  9446
3238,   903,   200,  9301
3248,  1010,    66,  9192
3258,  1091,  -115,  8997
3268,  1187,  -219,  8658
3278,  1253,  -335,  8442
3289,  1310,  -517,  8316
3298,  1352,  -633,  8139
3308,  1401,  -716,  7899
3318,  1420,  -740,  7628
3328,  1461,  -664,  7446
3339,  1483,  -615,  7513
3349,  1478,  -587,  7783
3359,  1449,  -576,  8094
3369,  1361,  -520,  8250
3379,  1263,  -339,  8197
3389,  1196,  -195,  8059
3398,  1137,  -293,  8041
3408,  1128,  -489,  8122
3418,  1086,  -538,  8187
