time,accx,accy,accz
2242,     1,    15,   -36
2252,     1,    17,   -36
2262,     7,    10,   -43
2273,     9,     4,   -42
2283,     6,     6,   -39
2293,     2,     6,   -41
2303,     1,     4,   -36
2313,     4,    -1,   -21
2324,     1,    -4,   -13
2334,    -5,    -5,   -14
2344,    -2,    -5,   -24
2354,    -4,    -2,   -30
2364,    -2,     0,   -32
2375,    -1,    -1,   -35
2385,     0,    -9,   -41
2395,     7,    -3,   -44
2405,     8,     0,   -56
2416,     6,    -3,   -54
2426,     2,    -6,   -53
2436,     6,    -9,   -53
2446,     3,    -5,   -42
2457,    -1,    -4,   -34
2467,    -3,     0,   -37
2477,    -3,     0,   -44
2487,     0,    -1,   -46
2497,     8,    -3,   -48
2508,     7,    -6,   -48
2518,     2,    -4,   -46
2528,     2,    -4,   -37
2538,     2,    -2,   -31
2549,     0,     0,   -33
2559,    -2,     0,   -33
2569,    -5,     3,   -36
2579,     0,     2,   -46
2589,     1,     6,   -50
2600,     7,     5,   -57
2610,    11,     5,   -52
2620,    11,     3,   -49
2631,     7,     1,   -41
2641,     0,    -5,   -33
2651,    -6,     0,   -19
2661,    -8,     0,   -18
2672,    -7,    -5,   -29
2682,     0,    -3,   -39
2692,     2,     0,   -33
2703,     6,     0,   -39
2713,     5,     0,   -44
2723,     0,    -3,   -53
2733,     0,     0,   -50
2744,    -1,     0,   -57
2754,     3,     0,   -53
2764,     5,     0,   -50
2775,     0,     2,   -44
2785,     0,    -3,   -40
2794,     1,    -5,   -44
2803,     3,    -1,   -47
2812,     1,    -3,   -48
2821,     1,    -1,   -48
2830,     0,     0,   -49
2839,     4,     2,   -40
2847,     0,     6,   -29
2856,     3,     9,   -33
2865,     4,     1,   -36
2874,    10,    -1,   -39
2883,     8,    -6,   -45
2893,     6,    -9,   -52
2904,     5,    -8,   -49
2914,     4,    -8,   -46
2925,     0,    -7,   -48
2935,    -1,   -10,   -49
2945,     1,    -9,   -45
2955,     3,    -4,   -44
2966,     6,     0,   -33
2976,     6,    -5,   -31
2986,     5,   -11,   -29
2995,     7,   -16,   -19
3005,    11,    -6,   -22
3013,    10,    -1,   -32
3022,    15,     6,   -41
3031,    28,    58,   -68
3040,    17,    20,   -56
3050,    23,    -7,   -59
3059,    19,     5,   -42
3068,    24,    22,   -33
3078,    16,    24,   -34
3088,    18,    22,   -28
3098,    27,    12,   -11
3108,    45,    52,   -13
3118,   122,    32,    14
3128,   261,   -42,    20
3138,   397,    63,  -186
3148,   778,   357,  -137
3158,   663,   234,   233
3168,   491,   -28,   804
3178,   616,    84,  1035
3188,   839,   285,  1128
3198,   979,   292,  1254
3208,  1073,   191,  1391
3218,  1154,   150,  1379
3228,  1235,   173,  1265
3238,  1315,   169,  1118
3248,  1387,    55,  1008
3258,  1429,   -98,   811
3268,  1486,  -175,   470
3278,  1516,  -266,   253
3289,  1538,  -422,   127
3298,  1544,  -515,   -50
3308,  1558,  -580,  -290
3318,  1551,  -590,  -562
3328,  1576,  -506,  -744
3339,  1592,  -454,  -677
3349,  1583,  -425,  -407
3359,  1546,  -410,   -96
3369,  1438,  -345,    59
3379,  1314,  -152,     6
3389,  1222,     2,  -130
3398,  1142,   -78,  -148
3408,  1112,  -255,   -67
3418,  1047,  -289,    -1
3428,   949,  -230,    18
3438,   823,  -112,   -28
3448,   765,   -21,  -137
3458,   710,     0,  -226
3468,   654,   -22,  -269
3478,   630,   -65,  -300
3488,   599,  -152,  -330
3498,   574,  -269,  -334
3508,   570,  -341,  -336
3518,   503,  -315,  -363
3528,   382,  -214,  -408
3538,   311,  -116,  -562
3548,   275,  -107,  -716
3558,   274,  -149,  -773
3568,   294,  -231,  -747
3578,   265,  -254,  -644
3588,   247,  -231,  -577
3598,   197,  -191,  -487
3608,   125,  -117,  -466
3618,    96,   -40,  -603
3628,    35,    -3,  -754
3638,   -10,    27,  -842
3648,   -65,    74,  -842
3658,  -128,   161,  -809
3668,  -150,   254,  -753
3678,  -138,   280,  -654
3688,  -128,   272,  -478
3698,  -140,   262,  -291
3709,  -188,   334,  -172
3719,  -274,   515,  -158
3729,  -345,   720,  -157
3739,  -379,   791,   -91
3749,  -411,   800,    62
3759,  -515,   929,   111
3769,  -564,   991,    -9
3779,  -504,   773,  -142
3789,  -381,   389,  -154
3799,  -291,   114,  -102
3809,  -337,   182,  -129
3819,  -388,   391,  -260
3829,  -334,   313,  -374
3839,  -250,    44,  -318
3849,  -178,  -210,  -195
3859,  -164,  -326,   -84
3869,  -185,  -347,   -11
3878,  -195,  -331,   -14
3889,  -160,  -381,    33
3898,  -109,  -484,   111
3908,  -146,  -482,   203
3918,  -165,  -374,    83
3928,  -144,  -321,    42
3938,  -155,  -358,   218
3948,  -194,  -379,   405
3958,  -260,  -211,   400
3968,  -318,    30,   316
3978,  -330,   137,   247
3988,  -338,   195,   187
3998,  -349,   352,    54
4008,  -303,   490,   -98
4018,  -229,   533,   -48
4028,  -163,   564,   113
4038,  -195,   715,   382
4048,  -171,   838,   434
4058,   -91,   805,   477
4068,   -66,   742,   538
4078,    28,   580,   463
4088,    85,   404,   404
4098,    75,   380,   222
4108,   112,   263,   -32
4118,   151,   -94,  -142
4128,   141,  -468,  -201
4138,   111,  -730,  -350
4148,    92,  -901,  -405
4158,    12,  -864,  -293
4168,  -150,  -591,  -227
4178,  -186,  -424,  -222
4188,  -180,  -423,   -42
4199,  -265,  -317,   185
4210,  -302,  -200,   188
4220,  -288,  -270,   107
4230,  -324,  -408,    99
4240,  -391,  -480,    97
4250,  -420,  -493,    60
4261,  -457,  -362,   159
4271,  -467,  -207,   396
4281,  -527,   -93,   682
4291,  -669,   114,   696
4301,  -751,   313,   329
4310,  -744,   275,   -19
4319,  -781,   165,  -100
4329,  -809,    75,  -125
4338,  -855,    88,  -217
4348,  -909,   118,  -403
4359,  -876,    -3,  -540
4369,  -795,  -248,  -592
4379,  -731,  -450,  -550
4389,  -702,  -573,  -455
4399,  -642,  -609,  -407
4409,  -572,  -676,  -329
4419,  -553,  -677,  -175
4429,  -547,  -543,   -95
4439,  -580,  -346,  -147
4449,  -592,  -318,  -339
4459,  -575,  -424,  -492
4469,  -599,  -486,  -513
4479,  -575,  -524,  -514
4489,  -589,  -511,  -414
4499,  -732,  -325,  -181
4509,  -836,   -47,   -19
4519,  -946,   212,   211
4529, -1096,   466,   523
4539, -1193,   577,   734
4549, -1280,   580,   646
4559, -1298,   527,   308
4571, -1185,   258,   -24
4580, -1114,   -40,  -101
4590, -1066,  -232,   -49
4599, -1074,  -380,   122
4612, -1104,  -392,   307
4621, -1070,  -401,   425
4630, -1069,  -460,   516
4639, -1112,  -492,   507
4649, -1169,  -498,   354
4659, -1229,  -376,   205
4669, -1314,  -260,   154
4679, -1362,  -215,   159
4689, -1498,  -128,   202
4699, -1676,   -54,    31
4710, -1781,   -50,  -284
4721, -1849,   -63,  -382
4731, -1918,    -4,  -191
4741, -1848,    68,   -28
4752, -1705,   -30,     8
4762, -1531,  -120,  -104
4772, -1330,  -219,  -365
4782, -1129,  -352,  -639
4793,  -941,  -401,  -818
4803,  -929,   -94,  -770
4812,  -908,   408,  -687
4820,  -793,   680,  -476
4829,  -778,   842,   -30
4839,  -816,   957,   393
4850,  -910,   970,   687
4860, -1045,  1057,   741
4870,  -931,   899,   588
4880,  -801,   437,   558
4890,  -707,    13,   425
4900,  -636,  -306,   -59
4910,  -591,  -575,  -615
4920,  -576,  -659,  -925
4930,  -475,  -701,  -914
4940,  -354,  -842,  -594
4950,  -257,  -958,  -144
4960,  -206,  -876,   251
4970,  -135,  -657,   483
4979,   -98,  -426,   543
4989,   -81,  -169,   426
4999,    33,    59,   108
5009,   229,   177,  -165
5020,   415,   205,  -152
5030,   508,   302,    -6
5039,   540,   540,    19
5050,   550,   791,    11
5060,   493,  1009,   157
5070,   403,  1099,   354
5080,   308,  1087,   389
5090,   260,   958,   318
5100,   151,   852,   208
5110,   142,   680,   -19
5120,   171,   345,  -221
5130,   189,   -39,  -316
5139,   222,  -575,   359
5150,   246,  -528,   224
5162,   229,  -462,   172
5172,   242,  -394,   150
5181,   235,  -354,   127
5191,   247,  -283,    76
5199,   319,  -223,    38
5211,   337,  -182,   -15
5221,   152,   -52,   -42
5231,   259,   -28,   -19
5241,   556,  -226,    67
5252,   310,  -115,   120
5262,   225,    25,     4
5272,   384,  -153,   -26
5282,   212,  -277,  -151
5293,   398,  -426,  -319
5303,   201,  -346,  -217
5313,    11,  -178,  -198
5324,    -4,    53,   -90
5334,   -92,   182,   -10
5344,   -61,   231,    21
5354,   -38,   272,   -13
5365,    51,   334,   -16
5375,    88,   336,   -34
5385,   117,   214,   -92
5395,   144,    74,  -124
5406,   191,   -50,   -88
5415,    40,  -138,   -77
5424,    93,  -109,   -31
5433,    98,  -100,     5
5442,   123,  -134,   -14
5451,   197,   -33,    47
5460,    56,   -80,   -18
5469,    78,   -69,   -66
5479,    70,  -100,  -100
5489,    72,   -73,   -94
5499,   100,   -34,   -48
5509,   120,     0,    21
5520,   119,    -2,    60
5530,   120,   -21,    61
5540,   132,   -31,   -10
5550,   143,   -21,   -63
5560,   154,   -13,   -86
5570,   158,    -6,   -84
5580,   159,    -1,   -78
5590,   161,     0,   -70
5600,   163,     2,   -59
5610,   160,     2,   -45
5620,   154,    -9,   -35
5630,   145,   -15,   -18
5640,   141,   -13,    -2
5650,   134,    -2,    15
5660,   130,    15,    38
5670,   122,    24,    32
5680,   125,    20,    17
5690,   124,     9,   -17
5700,   131,    -1,   -50
5710,   140,    -1,   -67
5720,   145,     9,   -61
5730,   148,    21,   -55
5740,   148,    16,   -49
5750,   148,     3,   -46
5760,   144,     0,   -49
5770,   142,     1,   -38
5780,   138,     4,   -31
5791,   136,    12,   -14
5801,   121,     5,     4
5810,   117,    -9,     7
5820,   115,    -6,    12
5830,   121,    -1,    11
5840,   125,     5,     0
5850,   115,     6,   -10
5860,   121,     1,   -37
5870,   133,     2,   -47
5880,   141,     2,   -47
5890,   146,    11,   -70
5900,   139,    19,   -81
5910,   135,    15,   -88
5921,   131,     7,   -95
5931,   131,     0,   -80
5941,   135,     1,   -54
5952,   130,     5,   -12
5962,   117,    10,    17
5972,   111,    11,    26
5983,   107,    10,    26
5993,   109,     8,     3
6003,   109,    10,   -34
6014,   111,     4,   -56
6023,   104,    -5,   -57
6032,   104,     0,   -56
6041,   107,    15,   -24
6050,   109,    20,   -25
6060,   111,     8,   -36
6070,   111,    -3,   -57
6080,   116,    -7,   -85
6090,   118,     0,   -79
6100,   125,     8,   -60
6110,   125,    24,   -33
6120,   113,    19,   -11
6132,   108,     0,    -7
6142,    96,   -11,   -14
6153,    95,   -10,   -23
6163,   142,    85,    -3
6173,    85,    11,    -4
6183,    80,    13,     2
6194,    84,     7,    -6
6204,    88,    -6,   -22
6215,    89,   -22,   -40
6224,    91,   -21,   -49
6233,    90,   -16,   -53
6243,    86,     2,   -47
6251,    93,     6,   -55
6260,   101,    -3,   -73
6271,   111,    -1,  -102
6281,   112,    11,  -107
6291,   103,    17,   -91
6301,   105,    19,   -53
6311,   108,    28,    -6
6321,    93,    14,    29
6331,    74,    -8,    65
6341,    62,   -24,    78
6351,    66,   -35,    49
6361,    57,   -37,     7
6370,    50,   -25,   -33
