time,qw,qx,qy,qz
5,-0.88696,-0.00348,-0.01184,-0.46173
10,-0.88702,-0.00378,-0.01215,-0.46167
15,-0.88702,-0.00439,-0.01245,-0.46161
20,-0.88702,-0.00488,-0.01263,-0.46155
24,-0.88708,-0.00531,-0.01288,-0.46149
29,-0.88708,-0.00562,-0.01306,-0.46149
34,-0.88708,-0.00586,-0.01324,-0.46143
39,-0.88715,-0.00604,-0.01343,-0.46136
44,-0.88721,-0.00623,-0.01367,-0.46124
49,-0.88727,-0.00647,-0.01392,-0.46112
54,-0.88733,-0.00671,-0.01422,-0.46100
58,-0.88739,-0.00684,-0.01447,-0.46088
63,-0.88745,-0.00653,-0.01459,-0.46069
68,-0.88763,-0.00592,-0.01465,-0.46045
73,-0.88776,-0.00500,-0.01465,-0.46014
78,-0.88788,-0.00397,-0.01459,-0.45990
82,-0.88800,-0.00299,-0.01434,-0.45966
87,-0.88800,-0.00220,-0.01385,-0.45972
92,-0.88794,-0.00134,-0.01294,-0.45990
97,-0.88788,-0.00122,-0.01221,-0.46002
101,-0.88770,-0.00092,-0.01129,-0.46039
106,-0.88745,-0.00055,-0.01025,-0.46088
111,-0.88721,-0.00012,-0.00934,-0.46136
116,-0.88702,0.00012,-0.00867,-0.46173
120,-0.88690,0.00024,-0.00836,-0.46191
125,-0.88690,0.00024,-0.00836,-0.46204
130,-0.88684,0.00012,-0.00836,-0.46210
135,-0.88678,-0.00006,-0.00842,-0.46216
139,-0.88678,-0.00018,-0.00842,-0.46222
144,-0.88678,-0.00031,-0.00842,-0.46228
150,-0.88678,-0.00031,-0.00848,-0.46222
160,-0.88678,-0.00037,-0.00861,-0.46216
170,-0.88684,-0.00055,-0.00885,-0.46210
180,-0.88690,-0.00085,-0.00916,-0.46204
190,-0.88684,-0.00140,-0.00928,-0.46204
200,-0.88678,-0.00189,-0.00934,-0.46216
210,-0.88672,-0.00226,-0.00934,-0.46228
220,-0.88666,-0.00256,-0.00922,-0.46240
230,-0.88660,-0.00281,-0.00909,-0.46259
240,-0.88647,-0.00305,-0.00891,-0.46277
250,-0.88641,-0.00293,-0.00879,-0.46295
260,-0.88654,-0.00226,-0.00873,-0.46271
270,-0.88654,-0.00232,-0.00885,-0.46271
280,-0.88654,-0.00238,-0.00885,-0.46265
290,-0.88654,-0.00232,-0.00885,-0.46265
300,-0.88654,-0.00226,-0.00879,-0.46265
310,-0.88654,-0.00232,-0.00885,-0.46265
320,-0.88654,-0.00238,-0.00885,-0.46265
330,-0.88654,-0.00244,-0.00891,-0.46265
340,-0.88654,-0.00250,-0.00891,-0.46265
350,-0.88654,-0.00262,-0.00897,-0.46265
360,-0.88654,-0.00269,-0.00897,-0.46265
370,-0.88654,-0.00275,-0.00903,-0.46265
380,-0.88654,-0.00281,-0.00903,-0.46265
390,-0.88654,-0.00287,-0.00909,-0.46271
400,-0.88654,-0.00299,-0.00916,-0.46271
410,-0.88654,-0.00305,-0.00916,-0.46271
420,-0.88654,-0.00305,-0.00916,-0.46271
430,-0.88654,-0.00305,-0.00909,-0.46271
440,-0.88647,-0.00299,-0.00909,-0.46271
450,-0.88647,-0.00299,-0.00909,-0.46271
460,-0.88647,-0.00299,-0.00909,-0.46271
470,-0.88647,-0.00299,-0.00909,-0.46271
480,-0.88647,-0.00299,-0.00909,-0.46271
490,-0.88647,-0.00299,-0.00909,-0.46271
500,-0.88647,-0.00299,-0.00909,-0.46271
510,-0.88647,-0.00293,-0.00903,-0.46271
520,-0.88647,-0.00287,-0.00903,-0.46271
530,-0.88647,-0.00281,-0.00903,-0.46271
540,-0.88654,-0.00287,-0.00903,-0.46271
550,-0.88654,-0.00287,-0.00903,-0.46271
560,-0.88654,-0.00287,-0.00903,-0.46271
570,-0.88654,-0.00287,-0.00909,-0.46271
580,-0.88654,-0.00287,-0.00909,-0.46271
590,-0.88654,-0.00287,-0.00909,-0.46265
600,-0.88654,-0.00293,-0.00909,-0.46265
610,-0.88654,-0.00293,-0.00909,-0.46265
624,-0.88654,-0.00293,-0.00916,-0.46265
634,-0.88654,-0.00293,-0.00916,-0.46265
644,-0.88654,-0.00293,-0.00916,-0.46271
654,-0.88654,-0.00299,-0.00916,-0.46271
664,-0.88654,-0.00305,-0.00916,-0.46271
674,-0.88654,-0.00305,-0.00916,-0.46271
684,-0.88654,-0.00305,-0.00916,-0.46265
694,-0.88654,-0.00305,-0.00916,-0.46265
704,-0.88654,-0.00305,-0.00922,-0.46265
714,-0.88654,-0.00317,-0.00922,-0.46271
724,-0.88654,-0.00323,-0.00928,-0.46271
734,-0.88647,-0.00330,-0.00928,-0.46271
745,-0.88647,-0.00336,-0.00934,-0.46271
754,-0.88647,-0.00342,-0.00934,-0.46271
764,-0.88647,-0.00348,-0.00934,-0.46277
775,-0.88647,-0.00348,-0.00934,-0.46277
785,-0.88647,-0.00348,-0.00934,-0.46277
795,-0.88647,-0.00342,-0.00928,-0.46277
805,-0.88647,-0.00342,-0.00928,-0.46277
814,-0.88647,-0.00342,-0.00934,-0.46283
824,-0.88641,-0.00354,-0.00940,-0.46283
834,-0.88635,-0.00366,-0.00946,-0.46295
844,-0.88635,-0.00385,-0.00952,-0.46301
854,-0.88629,-0.00403,-0.00958,-0.46313
864,-0.88623,-0.00409,-0.00958,-0.46326
874,-0.88617,-0.00421,-0.00964,-0.46332
884,-0.88611,-0.00446,-0.00970,-0.46338
894,-0.88611,-0.00470,-0.00983,-0.46344
904,-0.88611,-0.00500,-0.00995,-0.46344
914,-0.88611,-0.00519,-0.01001,-0.46344
924,-0.88611,-0.00525,-0.01001,-0.46344
934,-0.88611,-0.00531,-0.01001,-0.46344
945,-0.88611,-0.00537,-0.01001,-0.46344
954,-0.88611,-0.00537,-0.00995,-0.46344
965,-0.88611,-0.00543,-0.00995,-0.46350
975,-0.88611,-0.00543,-0.00995,-0.46350
985,-0.88611,-0.00549,-0.00995,-0.46350
995,-0.88611,-0.00549,-0.00989,-0.46350
1005,-0.88611,-0.00543,-0.00989,-0.46344
1015,-0.88611,-0.00537,-0.00989,-0.46344
1025,-0.88611,-0.00531,-0.00983,-0.46344
1035,-0.88611,-0.00531,-0.00983,-0.46344
1045,-0.88611,-0.00537,-0.00989,-0.46338
1055,-0.88611,-0.00537,-0.00989,-0.46338
1065,-0.88617,-0.00537,-0.00989,-0.46338
1074,-0.88617,-0.00537,-0.00989,-0.46338
1084,-0.88617,-0.00531,-0.00989,-0.46338
1094,-0.88617,-0.00525,-0.00983,-0.46338
1104,-0.88617,-0.00519,-0.00983,-0.46338
1115,-0.88617,-0.00513,-0.00983,-0.46338
1126,-0.88617,-0.00513,-0.00983,-0.46338
1136,-0.88617,-0.00513,-0.00983,-0.46332
1147,-0.88617,-0.00507,-0.00977,-0.46332
