time,qw,qx,qy,qz
5,-0.58356,-0.02100,-0.00677,0.81177
10,-0.58356,-0.02155,-0.00696,0.81177
19,-0.58350,-0.02209,-0.00720,0.81177
24,-0.58350,-0.02258,-0.00745,0.81177
29,-0.58350,-0.02289,-0.00751,0.81177
33,-0.58356,-0.02295,-0.00751,0.81171
38,-0.58368,-0.02295,-0.00745,0.81165
43,-0.58380,-0.02277,-0.00726,0.81152
48,-0.58398,-0.02246,-0.00702,0.81140
53,-0.58411,-0.02209,-0.00671,0.81134
58,-0.58423,-0.02209,-0.00671,0.81128
63,-0.58429,-0.02228,-0.00690,0.81122
67,-0.58435,-0.02234,-0.00702,0.81116
72,-0.58441,-0.02228,-0.00720,0.81110
77,-0.58441,-0.02197,-0.00726,0.81110
84,-0.58441,-0.02136,-0.00732,0.81116
93,-0.58429,-0.02069,-0.00732,0.81122
101,-0.58429,-0.02039,-0.00757,0.81128
109,-0.58423,-0.02020,-0.00793,0.81128
117,-0.58429,-0.01996,-0.00824,0.81128
125,-0.58429,-0.01965,-0.00854,0.81122
133,-0.58447,-0.01917,-0.00873,0.81116
141,-0.58484,-0.01837,-0.00879,0.81091
149,-0.58527,-0.01746,-0.00885,0.81061
157,-0.58569,-0.01697,-0.00916,0.81030
165,-0.58612,-0.01660,-0.00940,0.81000
173,-0.58649,-0.01630,-0.00964,0.80975
181,-0.58679,-0.01593,-0.00995,0.80951
186,-0.58710,-0.01575,-0.01013,0.80933
191,-0.58728,-0.01556,-0.01019,0.80914
196,-0.58746,-0.01544,-0.01025,0.80902
201,-0.58752,-0.01544,-0.01025,0.80902
205,-0.58752,-0.01538,-0.01025,0.80896
210,-0.58752,-0.01538,-0.01025,0.80896
217,-0.58752,-0.01538,-0.01019,0.80896
227,-0.58752,-0.01538,-0.01019,0.80896
237,-0.58752,-0.01538,-0.01019,0.80896
247,-0.58752,-0.01538,-0.01019,0.80896
257,-0.58752,-0.01544,-0.01013,0.80896
267,-0.58752,-0.01550,-0.01013,0.80896
277,-0.58752,-0.01556,-0.01013,0.80896
287,-0.58752,-0.01556,-0.01013,0.80896
297,-0.58752,-0.01562,-0.01007,0.80896
307,-0.58752,-0.01575,-0.01007,0.80896
317,-0.58752,-0.01581,-0.01007,0.80896
327,-0.58752,-0.01587,-0.01007,0.80896
337,-0.58752,-0.01587,-0.01007,0.80896
347,-0.58746,-0.01587,-0.01013,0.80902
357,-0.58734,-0.01593,-0.01007,0.80914
367,-0.58685,-0.01611,-0.00995,0.80945
377,-0.58636,-0.01636,-0.00983,0.80981
387,-0.58588,-0.01654,-0.00977,0.81018
397,-0.58539,-0.01678,-0.00983,0.81049
407,-0.58508,-0.01691,-0.00977,0.81073
417,-0.58490,-0.01703,-0.00964,0.81085
427,-0.58466,-0.01727,-0.00958,0.81104
437,-0.58441,-0.01758,-0.00946,0.81116
447,-0.58417,-0.01788,-0.00922,0.81134
457,-0.58398,-0.01807,-0.00897,0.81146
467,-0.58386,-0.01831,-0.00873,0.81158
477,-0.58380,-0.01837,-0.00861,0.81165
487,-0.58380,-0.01825,-0.00873,0.81165
497,-0.58380,-0.01819,-0.00873,0.81165
507,-0.58380,-0.01837,-0.00861,0.81165
517,-0.58374,-0.01831,-0.00867,0.81171
527,-0.58374,-0.01825,-0.00873,0.81171
537,-0.58368,-0.01831,-0.00867,0.81171
547,-0.58368,-0.01843,-0.00861,0.81171
557,-0.58386,-0.01904,-0.00824,0.81158
567,-0.58411,-0.01923,-0.00824,0.81140
577,-0.58417,-0.01923,-0.00830,0.81134
587,-0.58417,-0.01929,-0.00824,0.81134
597,-0.58417,-0.01929,-0.00830,0.81134
607,-0.58417,-0.01929,-0.00830,0.81134
617,-0.58417,-0.01929,-0.00830,0.81134
627,-0.58417,-0.01929,-0.00830,0.81134
637,-0.58417,-0.01929,-0.00830,0.81134
647,-0.58417,-0.01929,-0.00830,0.81134
657,-0.58417,-0.01929,-0.00836,0.81134
667,-0.58417,-0.01929,-0.00836,0.81134
677,-0.58417,-0.01929,-0.00836,0.81134
687,-0.58417,-0.01929,-0.00836,0.81134
697,-0.58417,-0.01929,-0.00836,0.81134
707,-0.58417,-0.01929,-0.00836,0.81134
717,-0.58417,-0.01935,-0.00836,0.81134
727,-0.58417,-0.01935,-0.00836,0.81134
737,-0.58417,-0.01935,-0.00830,0.81134
747,-0.58417,-0.01941,-0.00830,0.81134
757,-0.58417,-0.01941,-0.00824,0.81134
767,-0.58417,-0.01941,-0.00824,0.81134
777,-0.58417,-0.01947,-0.00824,0.81134
787,-0.58417,-0.01947,-0.00818,0.81134
797,-0.58417,-0.01953,-0.00818,0.81134
807,-0.58423,-0.01953,-0.00812,0.81134
817,-0.58423,-0.01953,-0.00812,0.81134
827,-0.58423,-0.01959,-0.00812,0.81134
837,-0.58423,-0.01959,-0.00806,0.81134
848,-0.58423,-0.01959,-0.00812,0.81134
858,-0.58423,-0.01959,-0.00806,0.81134
867,-0.58423,-0.01965,-0.00812,0.81134
877,-0.58423,-0.01965,-0.00812,0.81134
887,-0.58423,-0.01965,-0.00812,0.81134
900,-0.58423,-0.01965,-0.00812,0.81134
910,-0.58423,-0.01965,-0.00818,0.81134
920,-0.58423,-0.01965,-0.00818,0.81134
930,-0.58423,-0.01965,-0.00818,0.81134
941,-0.58423,-0.01959,-0.00824,0.81134
951,-0.58423,-0.01959,-0.00824,0.81134
961,-0.58423,-0.01965,-0.00824,0.81134
971,-0.58423,-0.01959,-0.00824,0.81128
981,-0.58423,-0.01965,-0.00824,0.81128
991,-0.58423,-0.01965,-0.00824,0.81128
1001,-0.58423,-0.01965,-0.00824,0.81128
1010,-0.58423,-0.01971,-0.00824,0.81128
1021,-0.58423,-0.01971,-0.00824,0.81128
1031,-0.58423,-0.01971,-0.00824,0.81128
1041,-0.58423,-0.01971,-0.00818,0.81128
1051,-0.58423,-0.01978,-0.00818,0.81128
