time,gyrx,gyry,gyrz
5,     0,     3,    -1
10,     0,     5,    -1
19,     0,     4,    -1
24,     0,     3,    -1
29,     0,     1,     0
33,     0,     0,     0
38,     0,    -2,     1
43,     0,    -3,     1
48,    -1,    -4,     1
53,     0,    -5,     1
58,    -1,     2,     0
63,    -1,     2,     0
67,    -2,     0,     0
72,    -2,    -1,     0
77,    -3,    -3,     0
84,    -4,    -5,    -1
93,    -3,    -4,    -1
101,    -4,     0,    -1
109,    -4,     0,    -1
117,    -4,    -1,     0
125,    -4,    -2,     0
133,    -4,    -3,     1
141,    -5,    -8,     4
149,    -5,    -5,     4
157,    -5,    -2,     3
165,    -4,    -2,     3
173,    -4,    -1,     3
181,    -4,    -1,     2
186,    -2,    -1,     2
191,    -2,    -1,     2
196,    -1,    -1,     1
201,    -1,    -1,     0
205,    -1,    -1,     0
210,     0,    -1,     0
217,     0,    -1,     0
227,     0,    -1,    -1
237,    -1,    -1,     0
247,     0,    -1,     0
257,     0,     0,     0
267,     0,     0,    -1
277,     0,     0,    -1
287,     0,     0,     0
297,     0,     0,     0
307,     0,     0,     0
317,     0,     0,    -1
327,    -1,     0,    -1
337,    -1,    -1,    -1
347,     0,     0,    -1
357,     1,     0,    -3
367,     2,     0,    -6
377,     1,     0,    -6
387,     1,     0,    -5
397,     1,     0,    -5
407,     0,     0,    -3
417,     1,     0,    -2
427,     2,     0,    -2
437,     3,     1,    -3
447,     2,     0,    -3
457,     1,     0,    -2
467,     1,     0,    -2
477,    -1,     0,    -1
487,    -2,    -1,     0
497,     0,     0,     0
507,     1,     0,    -1
517,    -3,    -1,    -1
527,     0,     0,    -1
537,     0,     0,    -1
547,     1,     0,     0
557,     4,     2,     2
567,    -1,     0,     2
577,     0,     0,     0
587,    -1,    -1,     0
597,     0,     0,     0
607,    -1,    -1,     0
617,    -1,     0,     0
627,    -1,    -1,     0
637,    -1,    -1,     0
647,     0,    -1,     0
657,    -1,    -1,     0
667,     0,    -1,     0
677,    -1,    -1,    -1
687,     0,    -1,     0
697,    -1,    -1,     0
707,     0,     0,    -1
717,     0,    -1,     0
727,     0,    -1,     0
737,     0,    -1,     0
747,     0,    -1,     0
757,     0,    -1,     0
767,     0,    -1,     0
777,     0,    -1,    -1
787,     0,    -1,     0
797,     0,    -1,     0
807,     0,    -1,     0
817,     0,    -1,     0
827,     0,     0,     0
837,    -1,     0,    -1
848,     0,     0,     0
858,    -1,     0,     0
867,    -1,     0,     0
877,    -1,     0,     0
887,    -1,    -1,    -1
900,    -1,    -1,     0
910,    -1,    -1,     0
920,    -1,    -1,     0
