time,qw,qx,qy,qz
5,0.75378,-0.03674,0.01587,0.65582
10,0.75391,-0.03717,0.01514,0.65570
14,0.75403,-0.03723,0.01404,0.65558
19,0.75409,-0.03729,0.01385,0.65552
24,0.75409,-0.03729,0.01398,0.65546
29,0.75421,-0.03729,0.01385,0.65540
33,0.75433,-0.03729,0.01343,0.65527
38,0.75446,-0.03741,0.01306,0.65509
43,0.75464,-0.03741,0.01257,0.65491
48,0.75482,-0.03735,0.01196,0.65472
52,0.75500,-0.03729,0.01154,0.65448
57,0.75531,-0.03711,0.01135,0.65417
62,0.75549,-0.03668,0.01160,0.65393
67,0.75568,-0.03619,0.01208,0.65381
72,0.75586,-0.03558,0.01257,0.65363
76,0.75586,-0.03510,0.01306,0.65356
81,0.75568,-0.03448,0.01355,0.65381
86,0.75537,-0.03430,0.01349,0.65417
91,0.75519,-0.03455,0.01257,0.65442
95,0.75500,-0.03491,0.01154,0.65460
100,0.75482,-0.03534,0.01068,0.65479
105,0.75464,-0.03552,0.00891,0.65509
110,0.75415,-0.03583,0.00696,0.65564
114,0.75354,-0.03632,0.00482,0.65631
119,0.75293,-0.03668,0.00323,0.65704
124,0.75232,-0.03680,0.00220,0.65771
129,0.75195,-0.03674,0.00195,0.65814
134,0.75183,-0.03632,0.00385,0.65826
138,0.75195,-0.03571,0.00690,0.65814
143,0.75195,-0.03461,0.00995,0.65814
148,0.75201,-0.03308,0.01172,0.65820
153,0.75201,-0.03253,0.01221,0.65820
157,0.75195,-0.03314,0.01178,0.65820
162,0.75195,-0.03351,0.01093,0.65820
171,0.75195,-0.03363,0.01013,0.65826
182,0.75195,-0.03400,0.00958,0.65820
192,0.75195,-0.03430,0.00909,0.65820
201,0.75195,-0.03442,0.00854,0.65820
211,0.75195,-0.03442,0.00842,0.65820
222,0.75195,-0.03430,0.00891,0.65820
231,0.75195,-0.03394,0.00964,0.65820
242,0.75195,-0.03363,0.01013,0.65820
251,0.75195,-0.03357,0.01025,0.65820
261,0.75195,-0.03369,0.01007,0.65820
272,0.75195,-0.03394,0.00958,0.65826
281,0.75189,-0.03412,0.00922,0.65826
292,0.75189,-0.03418,0.00909,0.65826
301,0.75195,-0.03412,0.00916,0.65820
312,0.75195,-0.03400,0.00940,0.65820
322,0.75195,-0.03394,0.00958,0.65820
331,0.75195,-0.03387,0.00970,0.65820
342,0.75195,-0.03387,0.00970,0.65820
352,0.75195,-0.03387,0.00964,0.65820
361,0.75195,-0.03394,0.00952,0.65826
372,0.75195,-0.03400,0.00934,0.65826
381,0.75195,-0.03406,0.00928,0.65826
392,0.75195,-0.03406,0.00934,0.65826
402,0.75195,-0.03400,0.00946,0.65820
412,0.75195,-0.03394,0.00958,0.65820
422,0.75195,-0.03394,0.00958,0.65820
432,0.75195,-0.03394,0.00952,0.65820
442,0.75195,-0.03400,0.00946,0.65820
452,0.75195,-0.03400,0.00934,0.65820
461,0.75195,-0.03400,0.00934,0.65820
472,0.75195,-0.03400,0.00940,0.65820
482,0.75195,-0.03400,0.00940,0.65826
491,0.75195,-0.03400,0.00946,0.65826
502,0.75195,-0.03394,0.00946,0.65826
512,0.75195,-0.03400,0.00946,0.65820
522,0.75195,-0.03400,0.00940,0.65820
532,0.75195,-0.03400,0.00934,0.65820
541,0.75195,-0.03400,0.00934,0.65820
552,0.75195,-0.03400,0.00940,0.65820
562,0.75195,-0.03400,0.00940,0.65820
572,0.75195,-0.03400,0.00940,0.65820
582,0.75195,-0.03400,0.00940,0.65820
592,0.75195,-0.03400,0.00940,0.65820
602,0.75195,-0.03400,0.00940,0.65826
612,0.75195,-0.03400,0.00934,0.65826
622,0.75195,-0.03400,0.00940,0.65826
632,0.75195,-0.03400,0.00940,0.65826
646,0.75189,-0.03400,0.00940,0.65826
656,0.75195,-0.03400,0.00940,0.65826
666,0.75195,-0.03400,0.00940,0.65826
676,0.75195,-0.03400,0.00940,0.65826
686,0.75195,-0.03400,0.00940,0.65820
697,0.75195,-0.03400,0.00940,0.65820
706,0.75195,-0.03400,0.00940,0.65820
716,0.75195,-0.03400,0.00940,0.65820
726,0.75195,-0.03400,0.00940,0.65820
736,0.75195,-0.03400,0.00940,0.65826
746,0.75195,-0.03400,0.00940,0.65820
756,0.75195,-0.03400,0.00940,0.65820
766,0.75195,-0.03400,0.00940,0.65820
776,0.75195,-0.03400,0.00940,0.65820
785,0.75195,-0.03400,0.00940,0.65820
796,0.75195,-0.03400,0.00940,0.65820
806,0.75195,-0.03400,0.00940,0.65826
816,0.75195,-0.03400,0.00940,0.65826
826,0.75195,-0.03400,0.00940,0.65826
836,0.75195,-0.03400,0.00940,0.65820
847,0.75195,-0.03400,0.00940,0.65820
857,0.75195,-0.03406,0.00940,0.65820
868,0.75195,-0.03406,0.00940,0.65820
878,0.75195,-0.03406,0.00940,0.65820
888,0.75195,-0.03406,0.00940,0.65820
898,0.75195,-0.03406,0.00940,0.65826
909,0.75195,-0.03406,0.00940,0.65826
919,0.75189,-0.03406,0.00940,0.65826
929,0.75195,-0.03406,0.00940,0.65826
939,0.75195,-0.03406,0.00940,0.65826
948,0.75195,-0.03406,0.00940,0.65826
957,0.75195,-0.03406,0.00940,0.65826
966,0.75195,-0.03406,0.00940,0.65826
976,0.75189,-0.03406,0.00940,0.65826
986,0.75189,-0.03406,0.00940,0.65826
996,0.75189,-0.03406,0.00934,0.65826
1006,0.75189,-0.03406,0.00934,0.65826
1016,0.75189,-0.03412,0.00934,0.65826
1026,0.75189,-0.03412,0.00934,0.65826
1036,0.75189,-0.03412,0.00934,0.65826
1047,0.75189,-0.03412,0.00934,0.65826
1057,0.75189,-0.03406,0.00934,0.65826
1068,0.75189,-0.03406,0.00934,0.65826
1078,0.75189,-0.03406,0.00934,0.65826
1088,0.75189,-0.03406,0.00934,0.65826
1098,0.75189,-0.03406,0.00934,0.65826
1109,0.75189,-0.03406,0.00934,0.65826
1119,0.75189,-0.03406,0.00934,0.65826
1129,0.75189,-0.03406,0.00934,0.65826
1139,0.75189,-0.03406,0.00934,0.65826
1148,0.75189,-0.03406,0.00934,0.65826
1157,0.75189,-0.03406,0.00934,0.65826
1166,0.75189,-0.03406,0.00934,0.65826
1176,0.75189,-0.03406,0.00934,0.65826
1186,0.75189,-0.03406,0.00934,0.65826
1196,0.75189,-0.03406,0.00934,0.65826
1206,0.75189,-0.03406,0.00934,0.65826
1216,0.75189,-0.03406,0.00934,0.65826
1226,0.75189,-0.03406,0.00934,0.65826
1236,0.75189,-0.03406,0.00934,0.65826
1248,0.75189,-0.03406,0.00934,0.65826
1258,0.75189,-0.03406,0.00934,0.65826
1268,0.75189,-0.03406,0.00934,0.65826
1278,0.75189,-0.03406,0.00928,0.65826
1289,0.75189,-0.03406,0.00928,0.65826
1299,0.75189,-0.03406,0.00934,0.65826
1309,0.75189,-0.03406,0.00934,0.65826
1319,0.75189,-0.03406,0.00934,0.65826
1330,0.75189,-0.03406,0.00934,0.65826
1340,0.75189,-0.03406,0.00934,0.65826
1349,0.75189,-0.03406,0.00934,0.65826
1358,0.75189,-0.03406,0.00934,0.65826
1367,0.75189,-0.03406,0.00934,0.65826
1377,0.75189,-0.03400,0.00934,0.65826
1387,0.75189,-0.03400,0.00934,0.65826
1397,0.75189,-0.03400,0.00934,0.65833
1407,0.75189,-0.03400,0.00934,0.65826
1417,0.75189,-0.03400,0.00934,0.65826
1427,0.75189,-0.03400,0.00934,0.65826
1437,0.75189,-0.03400,0.00934,0.65826
1448,0.75189,-0.03406,0.00934,0.65826
1458,0.75189,-0.03406,0.00934,0.65833
1468,0.75189,-0.03406,0.00934,0.65826
1479,0.75189,-0.03406,0.00934,0.65833
1489,0.75189,-0.03406,0.00934,0.65833
1499,0.75189,-0.03406,0.00934,0.65833
1510,0.75189,-0.03406,0.00928,0.65833
1520,0.75189,-0.03406,0.00928,0.65833
1530,0.75189,-0.03406,0.00928,0.65833
1540,0.75189,-0.03406,0.00928,0.65833
1547,0.75189,-0.03406,0.00928,0.65833
1555,0.75189,-0.03406,0.00928,0.65833
1565,0.75189,-0.03406,0.00928,0.65833
1575,0.75183,-0.03406,0.00928,0.65833
1585,0.75183,-0.03406,0.00928,0.65833
1595,0.75183,-0.03406,0.00928,0.65833
1605,0.75183,-0.03406,0.00928,0.65833
1615,0.75183,-0.03406,0.00928,0.65833
1625,0.75183,-0.03406,0.00928,0.65833
1635,0.75183,-0.03406,0.00928,0.65833
1647,0.75183,-0.03406,0.00928,0.65833
1657,0.75183,-0.03406,0.00928,0.65833
1666,0.75183,-0.03406,0.00934,0.65833
1681,0.75183,-0.03406,0.00928,0.65833
1690,0.75183,-0.03406,0.00928,0.65833
1699,0.75183,-0.03406,0.00928,0.65833
1708,0.75183,-0.03406,0.00928,0.65833
1717,0.75183,-0.03406,0.00928,0.65833
1727,0.75183,-0.03406,0.00928,0.65833
1737,0.75183,-0.03406,0.00928,0.65833
1748,0.75183,-0.03406,0.00928,0.65833
1758,0.75183,-0.03406,0.00928,0.65833
1768,0.75183,-0.03412,0.00928,0.65833
1779,0.75183,-0.03406,0.00928,0.65833
1789,0.75183,-0.03412,0.00928,0.65833
1799,0.75183,-0.03412,0.00928,0.65833
1809,0.75183,-0.03412,0.00928,0.65833
1820,0.75183,-0.03412,0.00928,0.65833
1830,0.75183,-0.03412,0.00928,0.65833
1840,0.75183,-0.03412,0.00928,0.65833
1849,0.75183,-0.03412,0.00928,0.65833
1858,0.75183,-0.03412,0.00928,0.65833
1867,0.75183,-0.03412,0.00928,0.65833
1877,0.75183,-0.03418,0.00928,0.65833
1887,0.75183,-0.03418,0.00928,0.65833
1897,0.75183,-0.03412,0.00928,0.65833
1907,0.75183,-0.03412,0.00928,0.65833
1917,0.75183,-0.03412,0.00928,0.65833
1927,0.75183,-0.03412,0.00928,0.65833
1937,0.75183,-0.03412,0.00928,0.65833
1948,0.75183,-0.03412,0.00928,0.65833
1958,0.75183,-0.03412,0.00928,0.65833
1968,0.75183,-0.03412,0.00928,0.65833
1979,0.75183,-0.03412,0.00928,0.65833
1989,0.75183,-0.03412,0.00922,0.65833
1999,0.75183,-0.03418,0.00922,0.65833
2009,0.75183,-0.03418,0.00922,0.65833
2020,0.75183,-0.03418,0.00922,0.65833
2030,0.75183,-0.03418,0.00916,0.65833
2040,0.75183,-0.03418,0.00916,0.65833
2049,0.75183,-0.03412,0.00916,0.65833
2058,0.75183,-0.03412,0.00916,0.65833
2067,0.75183,-0.03406,0.00916,0.65833
2077,0.75183,-0.03406,0.00909,0.65833
2087,0.75183,-0.03406,0.00909,0.65833
2097,0.75183,-0.03406,0.00909,0.65833
