time,accx,accy,accz
5,   -30,    14,    92
10,   -41,    64,    30
14,    -6,    10,    46
19,     7,    -2,    24
24,   -32,    -4,    59
29,   -43,    12,    65
33,   -23,    13,    85
38,   -37,     0,   134
43,   -34,   -16,   118
48,   -15,   -36,   117
52,    -6,   -73,   119
57,    -9,   -64,   100
62,   -21,   -21,    68
67,   -52,    -6,    91
72,   -64,    56,    83
76,  -139,   162,    97
81,  -205,   238,    34
86,  -114,   182,   -12
91,   -32,   102,    25
95,   -74,    63,    66
100,   -66,    89,   288
105,   -48,   162,   184
110,    95,   150,    97
114,   170,    70,    86
119,   167,    -4,   110
124,   152,  -224,    48
129,    11,  -266,  -109
134,    51,  -312,  -625
138,   112,  -251,  -253
143,   -92,  -217,   361
148,   -66,   -64,   317
153,   -15,    84,   -48
157,   -62,    85,    13
162,   -79,    33,   159
171,   -22,    31,    81
182,   -20,    30,    49
192,   -47,    19,    70
201,    -7,    -4,    21
211,    33,   -55,     0
222,    18,   -76,    41
231,     0,   -56,    49
242,    -4,   -14,    33
251,   -11,    24,    61
261,   -20,    32,    73
272,   -14,    23,    44
281,   -10,     3,    48
292,    -1,   -21,    70
301,     0,   -28,    55
312,    -4,   -21,    46
322,   -10,   -14,    54
331,    -9,    -6,    59
342,    -7,    -1,    62
352,    -8,    -1,    63
361,    -9,     4,    65
372,    -6,    -1,    63
381,    -4,   -14,    53
392,    -2,   -23,    46
402,    -5,   -24,    48
412,    -9,   -16,    61
422,   -14,    -8,    59
432,   -12,   -10,    58
442,    -9,   -14,    55
452,   -10,   -18,    55
461,   -11,   -19,    57
472,    -6,   -17,    51
482,    -7,   -18,    54
491,    -6,   -17,    56
502,    -8,   -13,    52
512,    -9,   -15,    58
522,    -8,   -15,    61
532,    -3,   -12,    61
541,    -5,   -16,    62
552,    -5,   -19,    67
562,   -10,   -16,    67
572,    -9,   -14,    66
582,    -6,    -9,    61
592,    -8,    -6,    64
602,    -3,    -9,    59
612,    -3,    -8,    64
622,    -2,    -9,    63
632,    -8,    -7,    64
646,   -11,    -5,    62
656,   -15,     0,    54
666,   -13,     0,    55
676,    -9,     2,    51
686,   -10,     1,    51
697,    -7,    -2,    58
706,    -3,    -5,    64
716,    -7,    -6,    64
726,    -5,    -8,    61
736,    -8,    -9,    61
746,    -6,   -10,    60
756,   -10,   -12,    60
766,   -12,   -10,    52
776,    -9,    -9,    51
785,    -4,    -9,    52
796,    -8,    -9,    51
806,   -12,    -5,    56
816,   -11,    -6,    53
826,    -9,    -3,    46
836,   -11,    -2,    40
847,   -12,    -3,    46
857,    -8,    -2,    47
868,    -9,    -3,    54
878,    -8,    -1,    54
888,   -13,    -1,    51
898,   -13,    -6,    53
909,   -11,   -10,    47
919,   -11,   -14,    56
929,   -11,   -16,    52
939,    -8,   -13,    57
948,    -5,   -12,    53
957,    -1,   -12,    48
966,    -5,    -9,    49
976,    -1,   -11,    51
986,    -3,   -10,    51
996,    -2,    -9,    52
1006,    -4,   -12,    56
1016,    -4,   -14,    54
1026,    -6,   -10,    54
1036,    -3,   -10,    53
1047,     0,   -10,    56
1057,    -1,    -5,    59
1068,     3,    -4,    57
1078,     9,    -7,    62
1088,     4,    -3,    60
1098,     4,    -6,    54
1109,     3,   -10,    56
1119,     1,    -7,    61
1129,    -4,    -8,    52
1139,    -6,   -11,    51
1148,    -3,   -12,    50
1157,    -5,   -14,    51
1166,    -2,    -9,    50
1176,     0,    -5,    47
1186,    -1,    -4,    54
1196,     0,    -5,    50
1206,    -1,    -5,    51
1216,    -2,    -3,    52
1226,    -5,    -2,    52
1236,    -3,    -1,    48
1248,    -5,    -3,    55
1258,    -5,     0,    51
1268,    -4,    -2,    56
1278,    -6,    -9,    55
1289,   -12,    -8,    54
1299,   -10,    -5,    57
1309,    -9,    -1,    55
1319,    -6,    -3,    53
1330,    -8,     0,    49
1340,    -6,     1,    55
1349,     0,     3,    62
1358,     0,     4,    63
1367,     1,     8,    58
1377,     2,     7,    56
1387,     0,     7,    53
1397,     3,     0,    56
1407,     3,     3,    55
1417,    -2,    -3,    50
1427,    -1,   -11,    53
1437,    -4,   -11,    55
1448,    -6,   -12,    48
1458,    -4,   -15,    41
1468,    -6,   -16,    45
1479,    -5,   -12,    45
1489,    -7,   -14,    53
1499,    -6,   -16,    53
1510,    -2,   -12,    54
1520,    -2,   -10,    54
1530,    -1,   -14,    56
1540,    -5,   -11,    56
1547,    -6,    -9,    55
1555,    -5,   -10,    55
1565,    -6,   -10,    56
1575,    -4,    -7,    63
1585,    -7,    -5,    59
1595,    -6,    -5,    57
1605,    -8,   -10,    53
1615,    -6,    -8,    45
1625,    -6,    -6,    45
1635,    -2,    -6,    54
1647,    -1,    -7,    55
1657,    -5,    -2,    57
1666,    -3,     0,    55
1681,     0,    -3,    49
1690,     1,    -1,    54
1699,     0,    -6,    58
1708,    -2,    -9,    57
1717,     0,    -4,    63
1727,     0,    -4,    53
1737,    -3,    -8,    49
1748,    -2,    -6,    49
1758,    -4,    -7,    55
1768,    -7,    -3,    61
1779,    -7,    -3,    60
1789,    -3,    -6,    54
1799,    -5,    -7,    59
1809,    -6,   -14,    66
1820,   -10,   -13,    60
1830,   -14,   -13,    56
1840,    -9,   -12,    55
1849,   -10,    -8,    52
1858,    -8,   -10,    57
1867,    -5,   -11,    65
1877,    -8,   -14,    72
1887,    -5,    -9,    69
1897,    -6,    -2,    62
1907,    -9,    -2,    66
1917,   -10,    -5,    75
1927,    -9,    -7,    83
1937,    -5,    -7,    77
1948,    -5,    -5,    62
1958,    -2,    -5,    54
1968,     2,    -7,    52
1979,     2,    -5,    55
1989,     0,    -9,    52
1999,    -3,   -13,    54
2009,    -6,    -7,    50
2020,    -6,    -7,    47
2030,    -5,    -6,    48
2040,    -2,    -4,    52
2049,    -2,    -4,    50
2058,    -4,    -1,    51
2067,    -5,    -1,    55
2077,    -1,    -4,    53
2087,     0,    -8,    50
2097,     4,    -8,    40
2107,     3,    -7,    40
2117,     1,    -9,    41
2127,     1,   -10,    32
2137,     3,   -10,    31
2148,     3,    -7,    34
2158,    10,    32,     8
2169,    -1,    55,    36
2179,   -18,    65,    69
2189,   -26,    60,    61
2199,   -34,    32,    75
2210,   -59,    -2,   125
2220,   -46,   -24,   107
2230,   -19,   -37,    38
2240,   -13,   -49,    39
