time,qw,qx,qy,qz
109,   1.00,  -0.00,  -0.02,   0.00
118,   1.00,  -0.00,  -0.02,   0.00
138,   1.00,  -0.01,  -0.02,  -0.00
188,   1.00,  -0.01,  -0.03,  -0.00
236,   1.00,  -0.01,  -0.03,  -0.00
287,   1.00,  -0.01,  -0.03,  -0.01
338,   1.00,  -0.01,  -0.04,  -0.01
387,   1.00,  -0.01,  -0.04,  -0.01
437,   1.00,  -0.01,  -0.04,  -0.01
486,   1.00,  -0.01,  -0.04,  -0.01
537,   1.00,  -0.02,  -0.05,  -0.01
588,   1.00,  -0.02,  -0.05,  -0.02
637,   1.00,  -0.02,  -0.05,  -0.02
686,   1.00,  -0.02,  -0.06,  -0.02
736,   1.00,  -0.02,  -0.06,  -0.02
787,   1.00,  -0.02,  -0.06,  -0.02
836,   1.00,  -0.02,  -0.06,  -0.03
887,   1.00,  -0.02,  -0.06,  -0.03
937,   1.00,  -0.02,  -0.07,  -0.03
986,   1.00,  -0.02,  -0.07,  -0.03
1037,   1.00,  -0.03,  -0.07,  -0.03
1087,   1.00,  -0.03,  -0.07,  -0.03
1136,   1.00,  -0.03,  -0.07,  -0.04
1187,   1.00,  -0.03,  -0.07,  -0.04
1236,   1.00,  -0.03,  -0.08,  -0.04
1287,   1.00,  -0.03,  -0.08,  -0.04
1337,   1.00,  -0.03,  -0.08,  -0.04
1388,   1.00,  -0.03,  -0.08,  -0.04
1437,   1.00,  -0.03,  -0.08,  -0.05
1488,   0.99,  -0.03,  -0.08,  -0.05
1538,   0.99,  -0.03,  -0.08,  -0.05
1588,   0.99,  -0.03,  -0.08,  -0.05
1638,   0.99,  -0.03,  -0.09,  -0.05
1689,   0.99,  -0.03,  -0.09,  -0.05
1738,   0.99,  -0.03,  -0.09,  -0.06
1789,   0.99,  -0.03,  -0.09,  -0.06
1839,   0.99,  -0.04,  -0.09,  -0.06
1888,   0.99,  -0.04,  -0.09,  -0.06
1938,   0.99,  -0.04,  -0.09,  -0.06
1988,   0.99,  -0.04,  -0.09,  -0.07
2038,   0.99,  -0.04,  -0.09,  -0.07
2089,   0.99,  -0.04,  -0.09,  -0.07
2138,   0.99,  -0.04,  -0.09,  -0.07
2188,   0.99,  -0.04,  -0.10,  -0.07
2237,   0.99,  -0.04,  -0.10,  -0.07
2288,   0.99,  -0.04,  -0.10,  -0.08
2338,   0.99,  -0.04,  -0.10,  -0.08
2389,   0.99,  -0.04,  -0.10,  -0.08
2438,   0.99,  -0.04,  -0.10,  -0.08
2489,   0.99,  -0.04,  -0.10,  -0.08
2538,   0.99,  -0.04,  -0.10,  -0.08
2589,   0.99,  -0.04,  -0.10,  -0.09
2639,   0.99,  -0.04,  -0.10,  -0.09
2688,   0.99,  -0.04,  -0.10,  -0.09
2739,   0.99,  -0.04,  -0.10,  -0.09
2788,   0.99,  -0.04,  -0.10,  -0.09
2838,   0.99,  -0.04,  -0.10,  -0.10
2887,   0.99,  -0.04,  -0.10,  -0.10
2938,   0.99,  -0.04,  -0.10,  -0.10
2989,   0.99,  -0.04,  -0.10,  -0.10
3039,   0.99,  -0.04,  -0.10,  -0.10
3089,   0.99,  -0.04,  -0.10,  -0.10
3139,   0.99,  -0.04,  -0.10,  -0.11
3189,   0.99,  -0.04,  -0.10,  -0.11
3239,   0.99,  -0.04,  -0.10,  -0.11
3289,   0.99,  -0.05,  -0.10,  -0.11
3339,   0.99,  -0.05,  -0.10,  -0.11
3389,   0.99,  -0.05,  -0.10,  -0.11
3439,   0.99,  -0.05,  -0.10,  -0.12
3490,   0.99,  -0.05,  -0.11,  -0.12
3537,   0.99,  -0.05,  -0.11,  -0.12
3588,   0.99,  -0.05,  -0.11,  -0.12
3639,   0.99,  -0.05,  -0.11,  -0.12
3689,   0.99,  -0.05,  -0.11,  -0.12
3740,   0.99,  -0.05,  -0.11,  -0.13
3789,   0.98,  -0.05,  -0.11,  -0.13
3840,   0.98,  -0.05,  -0.11,  -0.13
3890,   0.98,  -0.05,  -0.11,  -0.13
3938,   0.98,  -0.05,  -0.11,  -0.13
3988,   0.98,  -0.05,  -0.11,  -0.14
4040,   0.98,  -0.05,  -0.11,  -0.14
4089,   0.98,  -0.05,  -0.11,  -0.14
4138,   0.98,  -0.05,  -0.11,  -0.14
4188,   0.98,  -0.05,  -0.11,  -0.14
4238,   0.98,  -0.05,  -0.11,  -0.14
4289,   0.98,  -0.05,  -0.11,  -0.15
