time,gyrx,gyry,gyrz
5,     0,     0,    -1
10,     4,     0,    -1
15,     5,    -1,    -1
20,     4,    -1,    -1
24,     3,    -1,    -1
29,     2,     0,    -1
34,     2,     0,    -1
39,     1,     0,    -1
44,     2,     0,    -1
49,     3,     0,    -2
54,     2,     1,    -2
58,     0,     1,    -2
63,    -3,     2,    -2
68,    -6,     3,    -3
73,    -8,     3,    -3
78,    -8,     3,    -3
82,    -9,     1,    -2
87,    -9,    -2,     0
92,    -9,    -4,     1
97,    -5,    -5,     1
101,    -7,    -6,     3
106,    -8,    -6,     4
111,    -6,    -5,     4
116,    -4,    -4,     3
120,    -1,    -2,     1
125,     0,    -1,     0
130,     1,    -1,     0
135,     1,    -1,     0
139,     0,    -1,     0
144,     0,    -1,     0
150,     0,     0,    -1
160,     1,     0,    -1
170,     2,     1,    -1
180,     3,     0,    -1
190,     4,    -2,     0
200,     3,    -2,     0
210,     1,    -2,     1
220,     1,    -3,     1
230,     1,    -3,     1
240,     0,    -2,     1
250,    -2,     0,     0
260,     0,     2,    -2
270,     0,     0,    -1
280,     0,     0,    -1
290,    -1,     0,     0
300,    -1,    -1,    -1
310,     0,     0,    -1
320,     0,     0,     0
330,     0,     0,     0
340,     0,    -1,    -1
350,     0,    -1,    -1
360,     0,    -1,    -1
370,     0,     0,     0
380,     0,    -1,     0
390,     1,    -1,     0
400,     0,    -1,     0
410,     0,    -1,     0
420,    -1,    -1,     0
430,    -1,    -1,     0
440,    -1,    -1,     0
450,    -1,    -1,     0
460,     0,     0,     0
470,     0,     0,     0
480,    -1,    -1,     0
490,    -1,    -1,     0
500,    -1,     0,    -1
510,    -1,     0,    -1
520,    -1,     0,    -1
530,    -1,     0,    -1
540,     0,     0,    -1
550,     0,     0,    -1
560,     0,     0,    -1
570,    -1,     0,    -1
580,    -1,     0,    -1
590,     0,    -1,    -1
600,     0,     0,    -1
610,     0,     0,    -1
624,     0,     0,     0
634,    -1,     0,     0
644,     0,    -1,     0
654,     0,    -1,     0
664,     0,     0,    -1
674,    -1,     0,    -1
684,    -1,     0,    -1
694,     0,     0,    -1
704,     0,     0,     0
714,     0,    -1,     0
724,     0,    -1,     0
734,     0,    -1,     0
745,     0,    -1,     0
754,     0,    -1,     0
764,     0,    -1,     0
775,    -1,    -1,     0
785,    -1,    -1,     0
795,    -1,     0,     0
805,    -1,     0,     0
814,     0,     0,     0
824,     0,     0,     0
834,     1,     0,     0
844,     1,    -1,     0
854,     1,    -1,     1
864,     0,    -1,     1
874,     1,    -1,     0
884,     2,    -1,     0
894,     2,    -1,     0
904,     2,    -1,     0
914,     1,    -1,     0
924,     0,    -1,     0
934,     0,    -1,     0
945,     0,    -1,     0
954,     0,    -1,     0
965,     0,    -1,     0
975,     0,    -1,     0
985,     0,    -1,    -1
995,    -1,    -1,    -1
1005,    -1,     0,    -1
1015,    -1,     0,    -1
1025,    -1,     0,    -1
1035,     0,     0,    -1
1045,     0,     0,    -1
1055,     0,     0,    -1
1065,    -1,    -1,    -1
1074,    -1,     0,    -1
1084,    -1,     0,    -1
1094,    -1,     0,    -1
1104,    -1,     0,    -1
1115,    -1,     0,    -1
1126,    -1,     0,    -1
1136,    -1,     0,    -1
1147,    -1,     0,    -1
1157,    -1,     0,    -1
1167,    -1,     0,    -1
1178,    -1,     0,    -1
1188,    -1,     0,     0
1198,    -1,     0,    -1
1209,     0,     0,    -1
1219,     0,    -1,    -1
1228,     0,    -1,    -1
1237,     0,    -1,    -1
1246,     0,    -1,    -1
1255,     0,    -1,    -1
1265,     0,     0,    -1
1275,     0,     0,    -1
1285,     0,     0,    -1
1295,     0,     0,    -1
1305,     0,    -1,    -1
1315,     0,     0,    -1
1325,     0,     0,    -1
1335,     0,     0,    -1
1345,     0,     0,    -1
1355,     0,     0,    -1
1365,     0,     0,    -1
1375,     1,     0,    -1
1385,     1,     0,    -1
1395,     0,     0,    -1
1405,     0,     0,    -1
1415,     0,     0,     0
1425,     0,     0,     0
1435,     0,     0,     0
1445,    -1,     0,     0
1455,    -1,     0,     0
1465,    -1,     0,    -1
1475,    -1,     0,    -1
1485,    -1,     0,    -1
1495,    -1,     0,    -1
1505,    -2,     0,    -1
1515,    -3,     0,    -1
1525,    -3,     0,    -1
1534,    -3,     0,    -1
1546,    -3,     0,    -1
1554,    -2,     0,    -1
1564,    -1,     0,    -1
1576,     0,     0,    -1
1584,     1,     0,    -1
1594,     0,     0,    -1
1604,     0,     0,    -1
1614,     0,     0,    -1
1624,    -1,     0,    -1
1635,    -2,     0,    -1
1645,    -5,     0,    -1
1655,    -7,     1,    -1
1665,    -8,     0,     0
1675,    -6,     0,     5
1685,    -8,    -3,     4
1695,    -8,    -9,     1
1705,   -10,   -13,     3
1715,   -12,   -20,     4
1725,   -15,   -31,     3
1735,   -12,   -41,     4
1745,   -18,   -39,    11
1755,   -23,   -35,    17
1765,   -25,   -33,    20
1775,   -24,   -32,    17
1785,    -5,   -17,     9
1795,    10,     1,     1
1805,    10,    15,    -1
1815,     5,    11,     3
1825,     1,     2,     7
1835,    -4,    -8,    11
1845,   -10,   -16,    14
1855,   -12,   -22,    15
1865,   -11,   -27,    14
1875,    -5,   -24,    10
1885,     3,   -16,     3
1895,     9,    -8,    -6
1905,    12,    -3,   -13
1915,    14,     0,   -16
1925,    15,     1,   -15
1935,    11,     1,   -13
1945,     6,    -2,   -11
1955,    -1,   -11,    -8
1965,    -6,   -21,    -5
1975,    -3,   -30,    -4
1985,     5,   -29,    -8
1995,    14,   -18,   -14
2005,    20,    -3,   -20
2015,    23,     9,   -24
2025,    23,    13,   -25
2035,    19,     9,   -24
