time,alfa,beta,gama
7403,  93.64,  -1.58, 179.29
7412,  93.64,  -1.58, 179.28
7423,  93.64,  -1.57, 179.28
7433,  93.64,  -1.57, 179.27
7443,  93.63,  -1.57, 179.26
7453,  93.63,  -1.56, 179.27
7463,  93.63,  -1.57, 179.26
7473,  93.63,  -1.57, 179.26
7483,  93.63,  -1.56, 179.25
7493,  93.63,  -1.56, 179.25
7503,  93.62,  -1.55, 179.24
7513,  93.62,  -1.55, 179.24
7523,  93.63,  -1.55, 179.24
7533,  93.63,  -1.56, 179.24
7543,  93.63,  -1.56, 179.23
7553,  93.63,  -1.55, 179.22
7563,  93.62,  -1.55, 179.22
7576,  93.62,  -1.55, 179.22
7586,  93.62,  -1.54, 179.22
7596,  93.62,  -1.54, 179.22
7606,  93.62,  -1.54, 179.22
7616,  93.62,  -1.54, 179.22
7626,  93.62,  -1.54, 179.23
7636,  93.62,  -1.53, 179.23
7646,  93.62,  -1.54, 179.24
7656,  93.62,  -1.54, 179.25
7666,  93.62,  -1.54, 179.24
7675,  93.62,  -1.55, 179.24
7685,  93.62,  -1.55, 179.24
7696,  93.62,  -1.56, 179.23
7705,  93.62,  -1.57, 179.23
7715,  93.62,  -1.57, 179.22
7725,  93.62,  -1.58, 179.22
7735,  93.62,  -1.59, 179.22
7745,  93.62,  -1.60, 179.23
7761,  93.63,  -1.61, 179.23
7768,  93.63,  -1.62, 179.23
7775,  93.63,  -1.63, 179.22
7785,  93.63,  -1.63, 179.21
7795,  93.62,  -1.63, 179.21
7805,  93.62,  -1.63, 179.21
7816,  93.62,  -1.63, 179.21
7826,  93.62,  -1.63, 179.21
7835,  93.62,  -1.63, 179.21
7845,  93.62,  -1.63, 179.21
7856,  93.62,  -1.64, 179.21
7865,  93.62,  -1.64, 179.21
7875,  93.63,  -1.63, 179.21
7886,  93.63,  -1.62, 179.20
7896,  93.62,  -1.61, 179.19
