time,accx,accy,accz
2211,    -9,    -5,  -115
2221,   -10,     7,  -117
2231,    -4,     9,  -152
2241,    -5,    18,  -150
2251,     6,    21,  -143
2261,    -2,    18,  -117
2271,   -12,    20,  -124
2281,   -24,    10,  -126
2291,   -28,     2,  -123
2301,   -34,    17,  -158
2311,   -33,    35,  -204
2321,   -32,    45,  -149
2331,   -39,    44,  -147
2341,   -38,    39,  -151
2351,   -33,    19,  -116
2361,   -20,     4,  -108
2371,   -18,    -9,  -139
2381,   -20,   -17,  -146
2391,   -15,   -10,  -139
2401,   -18,    -3,  -132
2411,   -21,    13,  -148
2421,   -16,    22,  -135
2431,    -8,    22,  -119
2441,    -6,    11,  -122
2451,    -3,    -4,  -125
2461,    -1,   -12,  -120
2471,    -2,   -15,  -127
2481,    -3,    -3,  -124
2492,    -8,     4,  -139
2501,   -11,     9,  -125
2511,    -7,    11,  -128
2522,    -7,    15,  -112
2531,    -7,    24,  -124
2541,   -10,    33,  -130
2551,   -20,    56,  -136
2561,   -20,    56,  -137
2571,   -18,    33,  -131
2581,   -24,    69,  -144
2591,   -20,   151,  -173
2601,     1,   113,  -162
2611,    12,    18,  -135
2621,    12,    28,  -168
2632,    -2,    39,  -188
2641,    -5,   -66,  -165
2651,     7,  -116,  -167
2661,    11,    -6,  -170
2672,    20,    91,  -180
2681,     8,   -15,  -185
2691,    29,   -88,  -208
2701,    41,   -99,  -236
2711,    90,   -95,  -311
2721,   150,  -116,  -363
2732,   243,  -187,  -444
2742,   305,  -142,  -638
2751,   288,    57,  -845
2761,   202,   295,  -886
2772,   257,   310,  -801
2781,   368,   177,  -650
2791,   453,    52,  -539
2801,   603,   -28,  -565
2812,   792,  -134,  -692
2822,   931,  -231,  -779
2831,  1001,  -325,  -774
2841,  1079,  -494,  -675
2852,  1137,  -637,  -515
2861,  1238,  -779,  -408
2871,  1491,  -956,  -495
2882,  1769,  -949,  -756
2891,  1875,  -676,  -993
2901,  1771,  -223, -1058
2912,  1738,    13, -1028
2922,  1757,    -6,  -991
2932,  1739,  -103,  -963
2942,  1680,  -153,  -939
2952,  1646,   -99,  -915
2961,  1596,    52,  -892
2971,  1542,   268,  -876
2982,  1579,   402,  -945
2992,  1663,   412, -1049
3001,  1600,   424, -1052
3012,  1444,   402,  -944
