   0.98,   0.06,  -0.10,  -0.16
   0.98,   0.06,  -0.10,  -0.16
   0.98,   0.06,  -0.10,  -0.16
   0.98,   0.05,  -0.10,  -0.16
   0.98,   0.05,  -0.10,  -0.17
   0.98,   0.05,  -0.10,  -0.17
   0.98,   0.05,  -0.10,  -0.17
   0.98,   0.05,  -0.10,  -0.17
   0.98,   0.05,  -0.10,  -0.17
   0.98,   0.05,  -0.10,  -0.18
   0.98,   0.05,  -0.10,  -0.18
   0.98,   0.05,  -0.10,  -0.18
   0.98,   0.05,  -0.10,  -0.18
   0.98,   0.05,  -0.10,  -0.18
   0.98,   0.05,  -0.10,  -0.18
   0.98,   0.05,  -0.10,  -0.19
   0.98,   0.05,  -0.10,  -0.19
   0.97,   0.05,  -0.10,  -0.19
   0.97,   0.05,  -0.10,  -0.19
   0.97,   0.05,  -0.10,  -0.19
   0.97,   0.05,  -0.10,  -0.20
   0.97,   0.05,  -0.10,  -0.20
   0.97,   0.05,  -0.11,  -0.20
   0.97,   0.05,  -0.11,  -0.20
   0.97,   0.05,  -0.11,  -0.20
   0.97,   0.05,  -0.11,  -0.21
   0.97,   0.05,  -0.11,  -0.21
   0.97,   0.05,  -0.11,  -0.21
   0.97,   0.05,  -0.11,  -0.21
   0.97,   0.05,  -0.11,  -0.21
   0.97,   0.05,  -0.11,  -0.21
   0.97,   0.05,  -0.11,  -0.22
   0.97,   0.05,  -0.11,  -0.22
   0.97,   0.05,  -0.11,  -0.22
   0.97,   0.05,  -0.11,  -0.22
   0.97,   0.05,  -0.11,  -0.22
   0.97,   0.05,  -0.11,  -0.23
   0.97,   0.05,  -0.11,  -0.23
   0.97,   0.05,  -0.11,  -0.23
   0.97,   0.05,  -0.11,  -0.23
   0.97,   0.05,  -0.11,  -0.23
   0.96,   0.05,  -0.11,  -0.23
   0.96,   0.05,  -0.11,  -0.24
   0.96,   0.05,  -0.11,  -0.24
   0.96,   0.05,  -0.11,  -0.24
   0.96,   0.05,  -0.11,  -0.24
   0.96,   0.05,  -0.11,  -0.24
   0.96,   0.05,  -0.11,  -0.25
   0.96,   0.05,  -0.11,  -0.25
   0.96,   0.05,  -0.11,  -0.25
   0.96,   0.05,  -0.11,  -0.25
   0.96,   0.05,  -0.11,  -0.25
   0.96,   0.05,  -0.11,  -0.26
   0.96,   0.05,  -0.11,  -0.26
   0.96,   0.04,  -0.11,  -0.26
   0.96,   0.04,  -0.11,  -0.26
   0.96,   0.04,  -0.11,  -0.26
   0.96,   0.04,  -0.11,  -0.26
   0.96,   0.04,  -0.11,  -0.27
   0.96,   0.04,  -0.11,  -0.27
   0.96,   0.04,  -0.11,  -0.27
   0.96,   0.04,  -0.11,  -0.27
   0.95,   0.04,  -0.11,  -0.27
   0.95,   0.04,  -0.11,  -0.28
   0.95,   0.04,  -0.11,  -0.28
   0.95,   0.04,  -0.11,  -0.28
   0.95,   0.04,  -0.11,  -0.28
   0.95,   0.04,  -0.11,  -0.28
   0.95,   0.04,  -0.11,  -0.28
