time,accx,accy,accz
6,    20,   -19,   148
11,     4,   -80,   129
16,   -53,   -56,   191
20,   -71,   -36,   231
25,   -55,   -20,   211
30,   -30,   -31,   102
35,     3,   -36,    -3
40,    27,   -34,   -74
44,    42,   -58,   -60
49,    45,   -61,   -47
54,    41,   -40,    16
59,    40,   -31,   155
64,    26,   -26,   286
68,    -5,   -52,   442
73,   -20,   -93,   539
78,   -37,  -147,   579
83,   -72,  -212,   457
88,  -109,  -223,   254
93,   -84,  -321,   -92
98,  -146,  -170,  -116
102,  -158,   -27,  -156
107,  -160,    17,  -135
112,  -133,    86,   -72
117,  -109,   122,    -1
121,   -81,   169,     6
126,   -29,   130,   -26
131,    -1,    68,   -31
136,    20,    25,   -61
141,    44,    -7,  -147
145,    55,   -24,  -256
153,    69,   -28,  -329
163,    39,   -15,  -380
174,    16,   -16,  -349
183,    33,   -64,  -247
194,    32,   -68,  -186
203,    30,   -68,   -79
214,    32,   -76,    24
224,    36,   -82,   113
234,    24,   -73,   172
243,    25,   -65,   158
253,    40,   -76,    97
263,    42,   -92,    37
274,    45,   -98,    10
283,    55,   -90,     0
293,    48,   -62,   -18
304,    22,   -36,     8
313,    17,   -27,    59
324,    12,   -26,    78
334,     0,   -24,    97
343,   -15,   -10,   217
353,   -63,   142,   205
364,   -50,   266,   124
374,     5,    57,   189
384,    22,   -72,   142
394,    28,   -40,    44
403,    17,    24,    -3
414,    32,    12,     4
424,    47,   -50,    15
434,    12,   -42,   124
444,   -46,    24,   384
453,  -109,    95,   583
464,  -141,   103,   603
474,  -132,    64,   466
483,   -97,    21,   200
494,   -45,   -20,   -90
504,    -3,   -43,  -267
514,    35,   -62,  -353
524,    87,   -88,  -422
534,   124,   -94,  -487
544,   152,  -120,  -502
554,   163,  -153,  -435
563,   160,  -170,  -312
574,   150,  -171,  -178
584,   108,  -143,   -75
594,    70,  -121,   -38
604,     8,   106,    52
614,   -23,   375,    35
624,   -95,   484,   108
634,    -4,   286,   211
644,    -1,    71,   303
657,     2,     2,   303
667,     7,    84,   290
677,   -13,   179,   332
687,   -38,   228,   366
697,   -34,   210,   349
707,   -28,   146,   301
716,   -12,    59,   193
727,     7,    16,    10
737,    20,    55,  -200
747,    24,   134,  -342
757,    14,   191,  -298
767,    15,   182,  -117
777,    -4,   178,    80
787,   -33,   211,   221
797,   -62,   304,   224
807,   -78,   417,   100
817,   -84,   499,   -68
827,   -96,   506,  -178
837,  -106,   429,  -241
847,   -98,   229,  -285
856,   -55,   -24,  -292
866,   -37,  -275,  -139
876,   -40,  -431,   111
886,   -59,  -490,   238
896,   -83,  -404,   286
906,  -115,  -253,   331
917,  -154,  -102,   405
926,  -161,     9,   455
936,  -176,    74,   518
947,  -234,   136,   592
957,  -237,   -69,   225
967,  -163,  -257,   -71
978,  -191,  -192,  -114
987,  -248,    -4,  -188
997,  -214,   196,  -409
1007,  -167,   390,  -637
1017,  -181,   487,  -689
1027,  -208,   503,  -513
1037,  -220,   471,  -194
1048,  -237,   445,   170
1057,  -278,   416,   497
1067,  -384,   425,   662
1076,  -497,   227,   564
1086,  -573,   -22,   329
1097,  -557,   -81,   102
1106,  -543,  -221,    99
1116,  -504,  -259,   214
1127,  -442,  -255,   359
1136,  -455,  -198,   595
1147,  -359,  -238,   732
1157,  -235,  -229,   710
1167,  -240,  -224,   564
1177,  -327,  -102,   423
1188,  -369,  -139,   249
1197,  -349,  -282,    71
1207,  -289,  -449,   -61
1217,  -286,  -550,  -126
1227,  -284,  -640,  -109
1237,  -253,  -687,  -104
1247,  -202,  -570,  -145
1257,  -118,  -428,  -122
1267,    11,  -395,    82
1277,    73,  -377,   352
1288,    80,  -386,   433
1298,    89,  -420,   337
1308,    96,  -470,   194
1317,   177,  -548,    32
1327,   291,  -592,  -100
1338,   334,  -591,  -161
1348,   283,  -538,  -248
1358,   274,  -551,  -515
1367,   233,  -591,  -736
1377,   199,  -641,  -747
1388,   135,  -639,  -516
1398,    70,  -518,  -177
1408,   198,  -406,    95
1418,   426,  -345,   325
1427,   550,  -286,   445
1437,   594,  -307,   346
1448,   703,  -413,   -72
1455,   692,  -390,  -528
1464,   501,  -283,  -696
1475,   347,  -265,  -590
1485,   248,  -322,  -351
1495,   156,  -366,  -192
1505,   111,  -326,  -189
1514,   113,  -196,  -266
1525,   145,     2,  -229
1534,   261,   123,   -77
