time,accx,accy,accz
6,   137,  -561,  8323
11,   123,  -609,  8304
16,    63,  -567,  8368
20,    44,  -523,  8409
25,    62,  -482,  8390
30,    89,  -472,  8283
35,   125,  -462,  8177
40,   150,  -453,  8107
44,   165,  -477,  8121
49,   170,  -485,  8134
54,   169,  -473,  8197
59,   176,  -475,  8335
64,   180,  -487,  8465
68,   174,  -531,  8619
73,   194,  -591,  8714
78,   220,  -661,  8752
83,   230,  -733,  8627
88,   235,  -747,  8423
93,   291,  -842,  8075
98,   251,  -686,  8050
102,   248,  -534,  8010
107,   250,  -481,  8031
112,   279,  -403,  8095
117,   306,  -357,  8167
121,   341,  -301,  8175
126,   401,  -334,  8142
131,   438,  -393,  8136
136,   467,  -435,  8106
141,   500,  -470,  8019
145,   516,  -489,  7910
153,   529,  -496,  7838
163,   492,  -487,  7786
174,   456,  -493,  7817
183,   459,  -547,  7920
194,   444,  -556,  7981
203,   428,  -560,  8089
214,   419,  -569,  8194
224,   416,  -577,  8283
234,   400,  -568,  8341
243,   399,  -559,  8328
253,   415,  -572,  8266
263,   415,  -595,  8207
274,   416,  -609,  8179
283,   423,  -610,  8169
293,   411,  -589,  8149
304,   377,  -570,  8176
313,   364,  -569,  8227
324,   350,  -573,  8246
334,   328,  -576,  8265
343,   305,  -564,  8386
353,   257,  -408,  8374
364,   267,  -277,  8293
374,   323,  -487,  8358
384,   344,  -621,  8311
394,   352,  -589,  8212
403,   341,  -523,  8164
414,   354,  -536,  8172
424,   367,  -598,  8184
434,   329,  -587,  8293
444,   270,  -510,  8553
453,   216,  -422,  8753
464,   199,  -393,  8774
474,   226,  -413,  8638
483,   280,  -440,  8371
494,   344,  -471,  8081
504,   392,  -490,  7904
514,   432,  -511,  7817
524,   479,  -544,  7748
534,   504,  -559,  7683
544,   513,  -592,  7669
554,   502,  -631,  7736
563,   476,  -655,  7860
574,   442,  -659,  7995
584,   377,  -631,  8098
594,   315,  -609,  8136
604,   232,  -382,  8228
614,   179,  -101,  8212
624,    79,    14,  8285
634,   148,  -181,  8389
644,   135,  -399,  8482
657,   128,  -473,  8481
667,   124,  -394,  8468
677,    95,  -300,  8511
687,    65,  -246,  8545
697,    68,  -261,  8528
707,    78,  -327,  8479
716,   102,  -419,  8372
727,   130,  -468,  8187
737,   146,  -434,  7976
747,   145,  -360,  7835
757,   119,  -308,  7878
767,   101,  -326,  8059
777,    67,  -340,  8257
787,    31,  -317,  8397
797,     2,  -229,  8400
807,   -11,  -122,  8275
817,   -17,   -49,  8105
827,   -35,   -58,  7995
837,   -56,  -153,  7931
847,   -63,  -378,  7885
856,   -37,  -662,  7876
866,   -37,  -951,  8025
876,   -53, -1152,  8272
886,   -77, -1254,  8396
896,  -101, -1211,  8440
906,  -135, -1095,  8481
917,  -177,  -973,  8552
926,  -187,  -877,  8600
936,  -205,  -823,  8662
947,  -268,  -757,  8736
957,  -289,  -924,  8373
967,  -251, -1056,  8082
978,  -318,  -948,  8042
987,  -408,  -734,  7970
997,  -401,  -525,  7749
1007,  -384,  -342,  7519
1017,  -435,  -275,  7464
1027,  -501,  -306,  7634
1037,  -546,  -397,  7946
1048,  -585,  -479,  8303
1057,  -635,  -553,  8625
1067,  -737,  -567,  8787
1076,  -838,  -773,  8689
1086,  -901, -1034,  8453
1097,  -880, -1102,  8225
1106,  -866, -1251,  8221
1116,  -828, -1299,  8335
1127,  -761, -1297,  8479
1136,  -763, -1233,  8717
1147,  -642, -1248,  8858
1157,  -480, -1200,  8842
1167,  -443, -1149,  8702
1177,  -493,  -981,  8567
1188,  -499,  -975,  8398
1197,  -443, -1085,  8224
1207,  -344, -1231,  8093
1217,  -301, -1318,  8030
1227,  -265, -1397,  8048
1237,  -200, -1442,  8053
1247,  -121, -1334,  8012
1257,   -23, -1209,  8032
1267,   111, -1194,  8235
1277,   176, -1186,  8504
1288,   192, -1191,  8586
1298,   213, -1214,  8490
1308,   234, -1247,  8349
1317,   331, -1305,  8188
1327,   465, -1330,  8057
1338,   527, -1305,  7998
1348,   490, -1226,  7913
1358,   493, -1215,  7647
1367,   450, -1249,  7427
1377,   404, -1318,  7415
1388,   323, -1352,  7643
1398,   243, -1264,  7979
1408,   362, -1165,  8251
1418,   595, -1100,  8481
1427,   735, -1019,  8603
1437,   806, -1006,  8506
1448,   943, -1081,  8089
1455,   938, -1040,  7635
1464,   718,  -930,  7468
1475,   515,  -923,  7574
1485,   360,  -997,  7813
1495,   215, -1060,  7970
1505,   120, -1039,  7972
1514,    74,  -922,  7894
1525,    58,  -731,  7930
1534,   129,  -611,  8081
1545,   253,  -699,  8185
1555,   251,  -724,  8334
1564,   155,  -717,  8484
1575,    58,  -790,  8490
1585,   -61,  -900,  8357
1595,  -195,  -961,  8110
1605,  -285, -1004,  7935
1614,  -362, -1093,  7902
1625,  -445, -1160,  8094
