time,gyrx,gyry,gyrz
2358,    15,    23,    73
2369,     4,    29,    71
2379,    -2,    27,    70
2388,    -5,    18,    68
2398,    -5,     7,    71
2408,     0,     3,    71
2418,     4,     1,    68
2429,     6,     1,    65
2439,     7,     5,    63
2449,     7,     9,    64
2459,     7,    11,    66
2472,     5,    14,    68
2480,     4,    17,    68
2489,     2,    17,    65
2499,    -2,    12,    57
2509,    -3,     3,    51
2519,    -7,     0,    47
2529,   -13,     3,    46
2538,   -20,    10,    50
2548,   -22,    17,    58
2558,   -15,    19,    71
2568,   -12,    18,    65
2578,    -5,    15,    58
2588,    -1,    10,    52
2598,    -6,     6,    46
2608,   -14,     1,    40
2618,   -23,    -4,    40
2628,   -30,    -9,    45
2638,   -31,   -17,    52
2648,   -28,   -28,    57
2658,   -22,   -39,    56
2670,   -15,   -48,    50
2680,    -8,   -53,    43
2690,    -3,   -51,    43
2700,    -7,   -41,    46
2710,   -12,   -28,    48
2720,   -17,   -22,    45
2730,   -20,   -23,    40
2740,   -21,   -25,    34
2750,   -22,   -23,    30
2760,   -23,   -15,    30
2769,   -24,    -2,    33
2779,   -24,     9,    39
2788,   -20,    16,    44
2798,   -14,    21,    48
2809,    -7,    25,    48
2819,    -1,    27,    48
2829,     0,    30,    47
2839,    -4,    34,    46
2849,    -7,    34,    46
2859,    -5,    30,    48
2869,     0,    25,    48
2879,     4,    21,    47
2889,     9,    16,    46
2899,    15,    14,    45
2909,    19,    15,    45
2919,    24,    17,    45
2929,    31,    18,    47
2939,    34,    17,    47
2949,    32,    14,    46
2959,    29,    10,    43
2968,    22,     5,    38
2978,    14,    -3,    33
2988,     9,   -10,    32
2998,    10,   -16,    34
3009,    13,   -20,    38
3018,    14,   -20,    40
3028,    13,   -17,    41
3038,    11,   -12,    40
3048,     9,    -8,    38
3058,     9,    -5,    35
3068,     9,    -5,    32
3079,    10,    -5,    30
3088,    13,    -8,    28
3098,    20,   -13,    27
3108,    23,   -18,    27
3118,    16,   -19,    30
3129,     7,   -17,    38
3138,     1,   -13,    45
3149,    -5,    -9,    51
3158,   -16,    -5,    52
3169,   -20,    -3,    52
3180,   -20,    -3,    53
3190,   -18,    -3,    57
3201,   -15,     0,    59
3211,   -12,     7,    55
3220,   -15,    17,    54
3230,   -26,    28,    58
3240,   -40,    39,    56
3250,   -35,    42,    55
3260,   -29,    37,    55
3268,   -19,    29,    55
3276,   -10,    21,    63
3286,    -2,     8,    86
3296,     1,    -5,   111
3306,    -5,    -8,   116
3316,    -7,   -14,    98
3326,     0,   -22,    63
3336,     7,   -30,    33
3346,    10,   -38,    25
3356,    13,   -43,    35
3366,    15,   -44,    55
3376,    13,   -41,    67
3386,     6,   -31,    62
3396,     0,   -19,    51
3406,     0,    -7,    43
3416,     3,     2,    41
3426,     6,    11,    41
3436,     7,    17,    44
3446,     5,    20,    50
3456,    -1,    19,    55
3466,    -3,    17,    63
3476,    -4,    17,    74
3486,    -7,    19,    89
3496,   -13,    24,    98
3506,   -20,    32,    95
3516,   -19,    37,    84
3526,   -14,    37,    69
3536,    -8,    31,    59
3546,    -1,    20,    62
3557,     4,     9,    75
3566,     5,     1,    96
3576,     0,    -1,   114
3587,    -9,     5,   115
3597,   -18,    16,   101
3606,   -22,    25,    84
3616,   -19,    28,    72
3626,   -13,    25,    69
3636,    -5,    20,    74
3647,     1,    16,    81
3656,     7,    14,    87
3666,    11,    16,    89
3677,    15,    23,    79
3686,    17,    35,    60
3696,    10,    45,    43
3706,   -12,    42,    35
3717,   -26,    21,    47
3727,   -22,    -5,    65
3736,   -15,   -24,    80
3746,   -10,   -32,    91
3757,    -8,   -29,    99
3766,   -12,   -17,   102
3777,   -20,     0,    93
3787,   -25,    17,    79
3797,   -23,    26,    68
3807,   -18,    26,    57
3817,   -11,    19,    51
3827,    -2,     7,    53
3837,    -1,    -3,    61
3847,    -7,   -13,    76
3857,   -10,   -20,    92
3867,   -12,   -20,   104
3877,   -16,   -12,   109
3887,   -22,     1,   102
3897,   -28,    15,    85
3906,   -27,    19,    70
3917,   -20,    13,    63
3926,   -15,     3,    62
3937,   -13,    -8,    67
3947,   -10,   -16,    74
3956,   -11,   -17,    80
3967,   -15,   -14,    85
3981,   -19,    -6,    86
3990,   -20,     3,    83
4001,   -17,     8,    81
4011,   -17,     9,    78
4021,   -16,     8,    71
4031,   -13,     5,    62
4041,   -13,     1,    55
4050,   -11,    -5,    53
4060,   -10,    -6,    52
4070,   -10,    -4,    54
4079,   -10,    -2,    58
4089,    -9,    -2,    60
4099,    -9,    -3,    62
4109,    -9,    -5,    61
4119,   -10,    -2,    56
4129,   -10,     1,    53
4139,   -10,     2,    52
4149,   -13,     2,    53
4159,   -14,     0,    57
4169,   -15,    -2,    58
4179,   -13,     0,    56
4189,    -6,     2,    53
4200,     1,     3,    49
4211,     5,     5,    46
4219,    10,     5,    46
4230,    11,     6,    46
4239,     8,     7,    48
4249,     5,     6,    51
4259,     3,     4,    54
4269,     0,     0,    61
4280,    -5,    -2,    68
4290,   -10,    -2,    70
4300,   -13,     2,    67
4310,   -16,     4,    66
4320,   -16,     1,    67
4330,   -16,    -6,    66
4340,   -14,   -14,    59
4350,    -8,   -22,    51
4360,     1,   -30,    44
4370,    10,   -36,    37
4382,    15,   -41,    34
4391,    20,   -46,    33
4401,    23,   -49,    34
4411,    19,   -52,    36
4421,    14,   -44,    42
4431,     9,   -29,    51
4442,     4,   -18,    59
4452,    -1,   -10,    66
4462,    -8,     1,    67
4472,   -12,    10,    63
4480,    -9,     7,    53
4490,    -4,     2,    44
4499,    -2,    -3,    38
4509,     0,   -12,    34
4519,    -4,   -21,    34
4530,   -13,   -28,    36
4539,   -21,   -32,    40
4550,   -24,   -37,    42
4560,   -20,   -37,    41
4569,   -16,   -28,    41
4580,   -13,   -19,    40
4590,   -10,   -12,    39
4599,   -10,    -7,    40
4610,   -12,    -8,    41
4620,   -13,   -16,    42
4630,   -13,   -23,    40
4642,   -11,   -30,    36
4650,    -7,   -37,    33
4660,    -6,   -42,    34
4669,   -12,   -42,    40
4683,   -21,   -25,    39
4695,   -17,   -15,    34
4706,    -9,   -11,    29
4716,    -4,   -10,    28
4726,    -2,   -11,    29
4736,     0,   -17,    30
4747,     1,   -27,    32
4757,    -1,   -34,    34
4767,   -11,   -43,    38
4778,   -15,   -40,    39
4785,   -19,   -24,    36
4793,   -20,    -5,    31
4800,   -18,     7,    27
4810,   -17,    10,    29
4820,   -16,     9,    34
4830,   -13,     6,    36
4840,    -4,     2,    34
4850,     6,     3,    33
4860,    12,     5,    34
4870,    13,     7,    32
4880,    11,     8,    29
4891,     7,     7,    28
4901,     1,     9,    28
4912,    -1,    13,    32
4920,     0,    15,    37
4930,     6,    14,    37
4940,    17,    10,    33
4957,    22,     8,    29
4965,    20,     9,    25
4973,    17,     9,    25
4981,    13,     4,    34
4990,     9,    -4,    47
5000,     6,   -13,    55
5010,     2,   -20,    58
5020,    -1,   -23,    56
5030,    -5,   -18,    54
5040,   -11,    -6,    51
5050,   -18,     5,    49
5060,   -23,     6,    42
5070,   -20,    -2,    32
5080,    -8,   -10,    25
5091,     4,   -10,    22
5101,    11,    -2,    25
5111,    11,     6,    28
5121,     3,     9,    31
5131,    -5,    10,    32
5141,   -11,    11,    34
5151,   -14,    12,    35
5161,   -14,    13,    37
5170,   -14,    12,    36
5181,   -15,     9,    34
5191,   -18,     6,    31
5201,   -21,     4,    32
5211,   -19,     2,    35
5221,   -14,     1,    39
5231,    -8,     1,    42
5241,    -2,     0,    44
5251,     1,     0,    45
5261,     4,     0,    47
5271,     9,    -3,    48
5281,     7,    -7,    48
5291,     1,   -10,    46
5301,    -7,   -10,    42
5311,   -12,    -9,    38
5321,   -13,    -9,    35
5331,   -10,   -11,    36
5341,    -6,   -12,    39
5351,    -4,   -12,    41
5361,    -1,   -11,    43
5371,     3,   -10,    43
5381,    12,    -8,    43
5391,    24,    -9,    41
5401,    34,    -9,    36
5411,    41,   -10,    30
5421,    46,   -13,    23
5431,    46,   -14,    17
5441,    41,    -8,    12
5451,    32,     1,     7
5461,    22,     9,     3
5471,    10,    15,     0
5482,     1,    18,     0
5491,    -5,    18,     0
5501,    -2,    14,     2
5512,    12,     7,     3
5522,    12,     6,     6
5532,    14,     8,     9
5541,    16,     3,    11
5551,    13,   -12,    15
5561,     8,   -31,    23
5571,     9,   -37,    27
5581,    11,   -32,    23
5592,    12,   -25,    18
5601,     9,   -17,    15
5611,     1,    -9,    12
5621,    -5,     4,     6
5631,   -10,    17,     3
5641,   -14,    21,     2
5651,   -17,    18,     2
5661,   -17,    13,     4
5671,   -14,     8,     9
5681,   -10,     0,    14
5692,   -11,   -10,    21
5701,   -12,   -14,    24
5711,   -11,   -11,    23
5721,    -7,    -5,    21
5732,    -5,    -1,    19
5742,    -8,     0,    18
5751,   -11,     3,    16
5761,   -10,     8,    12
5771,    -8,    13,    12
5781,    -3,    15,    16
5793,     4,    11,    19
5803,     5,     7,    21
5813,     2,     6,    21
5822,    -6,     8,    21
5832,   -19,     8,    17
5843,   -27,    11,    10
5853,   -30,    17,     7
5863,   -24,    20,    10
5873,   -13,    20,    11
5883,    -3,    15,    12
5892,     4,    10,    14
5900,     9,     5,    15
5911,     8,     1,    12
5921,     4,    -3,     8
5930,    -1,    -4,     7
5941,    -9,    -1,     8
5951,   -15,     0,     7
5961,   -18,     1,     2
5971,   -21,     4,     0
5981,   -18,     3,     1
5990,   -14,     0,     2
6001,    -8,    -2,     4
6010,    -1,    -6,     5
6021,    -1,    -4,     3
6031,    -4,     0,     2
6041,    -7,     0,     0
6051,    -4,    -1,     2
6061,     2,    -5,     3
6071,     8,    -7,     2
6081,    10,    -7,     1
6092,     9,    -7,     1
6101,     5,    -5,     0
6112,    -1,    -3,     1
6122,    -6,    -1,     2
6132,    -8,    -2,     2
6142,    -8,    -3,     3
6151,    -7,    -3,     4
6161,    -5,    -2,     5
6172,    -4,    -2,     4
6182,    -6,    -2,     2
6193,    -8,    -6,     0
6204,    -8,   -10,    -2
6214,    -5,   -11,    -2
6225,    -1,    -7,     1
6235,     1,    -1,     3
6245,     2,     5,     4
6256,     1,     7,     4
6266,    -1,     5,     2
6277,    -4,     3,     1
6287,    -6,     1,     0
6295,    -6,     0,     1
6302,    -5,     2,     1
6311,    -3,     1,     1
6321,    -1,     0,     0
6331,     4,     1,    -3
6341,     6,     1,    -5
6351,     4,     0,    -4
6361,     1,    -1,    -3
6371,    -1,     1,    -1
6381,    -8,     5,    -2
6391,   -10,   -17,    -7
6402,     2,   -34,    -3
6414,     1,   -23,    -6
6422,     1,   -25,    -6
6432,    -4,   -20,    -4
6442,    -8,   -13,    -1
6452,    -5,    -9,     1
6462,     0,    -4,     1
6472,     4,    -2,     1
6482,     5,    -2,    -1
6492,     4,    -3,    -2
6503,     3,    -4,    -2
6513,     2,    -3,    -1
6523,     1,    -4,     0
6534,     0,    -4,     1
6544,    -1,    -3,     0
6554,    -1,    -5,     1
6563,     0,    -6,     2
6574,     3,    -1,     2
6583,     5,     6,     1
6593,     5,     8,     1
6601,     7,    10,     0
6612,     6,    12,    -2
6622,     5,    11,    -1
6631,     3,    10,     1
6641,     1,     7,     1
6652,     0,     5,     2
6661,     1,     3,     1
6672,     1,     2,     2
6681,     1,     2,     2
6692,     0,     0,     2
6702,    -1,    -2,     1
6713,    -1,    -1,     0
6722,     1,     0,    -1
6732,     3,     2,    -2
6742,     2,     4,    -4
6752,    -1,     4,    -4
6762,    -3,     3,    -4
6772,    -2,     0,    -4
6783,    -2,    -1,    -2
6792,    -2,    -1,    -1
6803,    -1,    -1,     0
6813,    -1,    -2,     0
6823,    -1,    -2,     1
6832,     0,    -2,     1
6842,     2,    -3,     0
6852,     4,    -3,    -1
6862,     5,    -3,    -1
6872,     5,    -1,    -1
6883,     4,    -1,    -1
6893,     2,     0,     0
6903,     2,     1,    -2
6913,     1,     3,     0
6923,    -1,     4,     1
6933,    -3,     3,     1
6943,    -3,     2,     1
6952,     0,     0,     1
6962,     5,    -1,     0
6972,     7,    -3,     1
6983,     8,    -5,     2
6993,     6,    -6,     3
7003,     3,    -6,     3
7013,     0,    -5,     3
7023,     0,    -3,     1
7034,     0,    -2,     1
7044,     1,    -1,     1
7054,     3,     0,     1
7065,     4,     1,     2
7074,     5,     1,     1
7084,     3,     3,     2
7094,     6,     2,     2
7103,    11,    -1,     1
7113,     9,     2,     1
7123,     7,     2,     1
