time,gyrx,gyry,gyrz
5,    -3,    -1,     0
10,     0,     0,    -1
15,     0,     1,    -1
20,     0,     1,    -1
24,     0,     1,    -1
29,     0,     1,    -1
34,     0,     1,    -1
39,     0,     0,    -1
44,     0,     0,    -1
49,    -1,     0,    -1
54,    -1,     0,    -1
59,    -1,     0,    -1
63,     0,     1,    -1
68,    -1,     0,     0
73,     0,     3,     1
78,    -1,     3,     7
82,    -1,     2,     8
87,     0,     1,     6
92,     0,     0,     4
97,    -1,    -3,     4
102,    -2,    -5,     3
106,    -3,    -6,     2
111,    -4,    -9,     4
116,    -4,   -10,     4
120,    -4,    -9,     4
125,    -3,    -7,     3
130,    -2,    -2,     0
135,    -2,    -1,     0
140,    -1,    -1,     0
144,    -1,    -1,     0
149,    -1,    -1,     0
154,     0,    -1,     0
161,    -1,    -1,     0
172,    -1,    -1,    -1
181,     0,    -1,     0
192,    -1,    -1,     0
201,     0,    -1,     0
212,     0,    -1,     0
222,     0,    -1,     0
232,     0,    -1,     0
242,    -1,    -1,     0
252,     0,    -1,     0
262,    -1,    -1,    -1
271,    -1,    -1,    -1
282,    -1,    -1,     0
292,     0,    -1,     0
302,    -1,    -1,     0
312,    -1,    -1,     0
322,    -1,    -1,    -1
332,    -1,    -1,    -1
342,    -1,    -1,    -1
352,    -1,    -1,    -1
361,    -1,    -1,    -1
372,    -1,    -1,    -1
381,    -1,    -1,    -1
392,    -1,    -1,    -1
401,    -1,    -1,    -1
412,    -1,    -1,     0
422,    -1,    -1,     0
432,     0,     0,     0
442,    -1,    -1,     0
452,    -1,     0,     0
462,    -1,     0,     0
472,    -1,     0,     0
482,    -1,     0,    -1
492,    -1,    -1,    -1
502,     0,    -1,     0
512,     0,     0,     0
522,     0,     0,     0
532,     0,     0,     0
542,     0,     0,     0
552,     0,     0,     0
562,     0,     0,     0
572,     0,     0,     0
582,     0,     0,     0
592,     0,     0,     0
602,     0,    -1,     0
612,     0,     0,    -1
622,     0,     0,     0
632,     0,     0,     0
642,     0,     0,     0
652,     0,     0,    -1
667,     0,     0,     0
678,    -1,     0,    -1
688,    -1,     0,    -1
698,    -1,     0,    -1
708,    -1,     0,    -1
719,     0,     0,    -1
729,     0,    -1,    -1
739,     0,    -1,    -1
749,     0,    -1,     0
760,     0,    -1,    -1
769,    -1,    -1,     0
778,    -1,    -1,    -1
786,    -1,    -1,     0
796,    -1,     0,     0
806,     0,     0,    -1
816,     0,     0,     0
826,    -1,     0,     0
836,    -1,     0,    -1
846,    -1,    -1,     0
856,    -1,    -1,     0
866,     0,    -1,    -1
876,     0,    -1,    -1
886,     0,     0,     0
896,     0,     0,     0
907,     0,     0,     0
916,     0,     0,     0
926,     0,     0,     0
936,     0,     0,     0
946,     0,     0,     0
956,     0,    -1,     0
966,    -1,    -1,     0
976,    -1,    -1,     0
986,    -1,    -1,    -1
996,    -1,    -1,     0
1006,    -1,     0,    -1
1016,    -1,    -1,     0
1026,    -1,     0,     0
1037,    -1,    -1,     0
1046,    -1,    -1,    -1
1056,    -1,     0,     0
1067,    -1,     0,    -1
1077,    -1,     0,     0
1088,    -1,     0,     0
1098,    -1,    -1,     0
1108,    -1,     0,    -1
1118,    -1,    -1,    -1
1129,    -1,    -1,    -1
1139,    -1,     0,    -1
1149,    -1,     0,    -1
1159,    -1,     0,    -1
1168,    -1,     0,     0
1177,    -1,     0,    -1
1186,    -1,     0,     0
1196,    -1,     0,     0
1206,     0,     0,     0
1216,     0,     0,     0
1226,    -1,     0,     0
1236,     0,     0,     0
1246,     0,     0,     0
1256,     0,     0,     0
1267,     0,     1,     0
1277,     0,     0,     0
1287,     0,     0,     0
1298,     0,     0,     0
1308,     0,     0,     0
1318,    -1,     0,     2
1328,     0,     0,     3
1339,    -1,     0,     4
1349,    -1,    -1,     3
1359,    -1,     0,     2
1368,    -1,     0,     1
1377,    -1,     0,     0
1387,    -1,     0,     0
1397,    -1,     0,     0
1407,    -2,    -1,     0
1417,    -2,    -1,     0
1427,     0,     0,     0
1437,    -1,    -1,    -1
1447,    -1,     0,     0
1457,     0,     0,     0
1467,     0,     0,    -1
1478,    -1,     0,    -1
1488,    -1,     0,    -1
1499,     0,     0,    -1
1509,     1,     1,    -1
1519,     0,     1,    -1
1529,     0,     0,    -1
1539,     0,     0,    -1
1549,     0,     0,    -1
1560,     0,     0,    -1
1569,     0,     0,    -1
1578,     0,     0,    -1
1587,     1,     0,    -1
1597,     0,     0,    -1
1607,     1,     0,    -1
1617,     1,     0,    -2
1627,     1,     0,    -2
1637,     1,     0,    -2
1647,     1,     0,    -2
1657,     0,     0,    -2
1667,     0,    -1,    -1
1678,    -1,    -1,    -1
1688,    -1,    -1,    -1
1699,    -1,    -1,    -1
1709,     0,    -1,    -1
1719,     0,     0,    -1
1729,     0,     0,    -1
1739,     0,     0,    -1
1752,     0,    -1,    -1
1763,     0,     0,    -1
1773,     0,     0,    -1
1783,    -1,    -1,     0
1792,    -1,    -1,     0
1802,    -1,    -1,     0
1815,    -1,    -1,     0
1824,     0,    -1,     0
1833,     0,    -1,     0
1842,     0,     0,     0
1851,     0,     0,     0
1860,     0,     0,     0
1869,     0,     0,     0
1878,     0,     0,     0
1886,     0,     0,     0
1897,     0,     0,     0
1907,    -1,    -1,     0
1918,    -1,     0,    -1
1926,    -1,    -1,     0
1937,     0,     0,     0
1948,    -1,    -1,     0
1957,    -1,    -1,    -1
1967,    -1,    -1,    -1
1977,    -2,    -1,    -1
1987,    -1,    -1,    -1
1997,    -1,    -1,     0
2008,    -1,    -1,     0
2018,    -1,    -1,     0
2027,    -1,    -1,     0
2037,    -1,     0,    -1
2047,    -1,     0,    -1
2057,    -1,     0,     0
2067,     0,     0,    -1
2078,     0,    -1,    -1
2089,     0,    -1,     0
2099,     0,     0,     0
2109,     0,     0,     0
2119,     1,     0,     0
2129,     1,     0,     0
2140,     0,     0,     0
2150,     0,     0,     0
2160,     0,     0,     0
2170,     0,    -1,     0
2180,     0,    -1,     0
2191,    -1,    -1,    -1
2201,    -1,    -1,    -1
2211,    -1,    -1,    -1
2221,    -1,    -1,     0
2232,    -1,    -1,    -1
2242,    -1,    -1,    -1
2252,    -1,    -1,    -1
2262,    -2,    -1,    -1
2273,    -1,    -1,    -1
2283,    -1,    -1,    -1
2293,    -1,    -1,    -1
2303,    -1,    -1,     0
2313,     0,     0,     0
2324,     0,     0,     0
2334,     0,     0,     0
2344,     0,     0,     0
2354,     0,     0,     0
2364,     0,     0,     0
2375,     0,     0,     0
2385,     0,     0,     0
2395,     0,     0,     0
2405,     0,     0,     0
2416,     0,     0,     0
2426,     0,     0,     0
2436,     0,     0,     0
2446,     0,     0,     0
2457,     0,     0,     0
2467,     0,     0,     0
2477,    -1,     0,     0
2487,    -1,    -1,     0
2497,    -1,    -1,     0
2508,    -1,    -1,     0
2518,    -1,    -1,     0
2528,    -1,     0,     0
2538,    -1,     0,     0
2549,    -1,     0,     0
2559,    -1,     0,     0
2569,    -1,    -1,     0
2579,    -1,    -1,     0
2589,    -1,    -1,     0
2600,    -1,    -1,     0
2610,    -1,    -1,    -1
2620,    -1,    -1,    -1
2631,    -1,    -1,    -1
2641,    -1,     0,     0
2651,     0,     0,     0
2661,     0,     0,     0
2672,     0,    -1,     0
2682,     0,     0,     0
2692,     0,    -1,     0
2703,     0,     0,     0
2713,    -1,    -1,     0
2723,    -1,    -1,     0
2733,    -1,    -1,    -1
2744,    -1,    -1,    -1
2754,    -1,    -1,    -1
2764,    -1,    -1,     0
2775,    -1,    -1,    -1
2785,    -1,    -1,    -1
2794,    -1,    -1,     0
2803,    -1,    -1,    -1
2812,    -1,    -1,     0
2821,    -1,    -1,    -1
2830,    -1,    -1,    -1
2839,    -1,    -1,     0
2847,    -1,    -1,    -1
2856,    -1,    -1,    -1
2865,    -1,    -1,     0
2874,     0,     0,    -1
2883,     0,     0,    -1
2893,    -1,     0,    -1
2904,     0,     0,    -1
2914,    -1,     0,    -1
2925,     0,     0,    -1
2935,     0,     0,    -1
2945,     0,     0,     0
2955,     0,     0,    -1
2966,     0,     0,    -1
2976,     0,     0,     0
2986,     1,     0,     0
2995,     1,     0,     0
3005,     1,     1,     0
3013,     1,     0,     0
3022,     1,     0,     1
3031,     1,     1,     3
3040,     0,     0,     4
3050,     1,     1,     3
3059,     2,     1,     3
3068,     2,     1,     4
3078,     2,     1,     5
3088,     2,     2,     7
3098,     4,     3,     8
3108,     5,     4,    10
3118,     5,     7,    14
3128,     9,     8,    14
3138,     6,    18,    14
3148,    -1,    26,    28
3158,    -4,    28,    30
3168,     0,    19,    21
3178,     0,    11,    16
3188,    -2,     9,    19
3198,    -4,     7,    21
3208,    -4,     1,    20
3218,    -4,    -4,    18
3228,    -6,    -8,    20
3238,   -10,   -10,    22
3248,   -12,   -12,    23
3258,   -13,   -14,    22
3268,   -13,   -13,    20
3278,   -12,   -11,    17
3289,   -10,   -12,    13
3298,    -8,   -12,     8
3308,    -6,   -11,     5
3318,    -4,    -7,     1
3328,    -2,    -1,     0
3339,    -1,     4,    -1
3349,     0,     4,    -3
3359,    -2,     0,    -3
3369,    -4,    -7,    -3
3379,    -7,   -10,    -1
3389,    -8,    -8,     4
3398,    -9,    -7,     5
3408,    -7,    -7,     1
3418,    -5,    -8,    -3
3428,    -5,   -10,    -4
3438,    -6,   -12,    -4
3448,    -5,   -11,    -2
3458,    -3,   -10,    -2
3468,    -3,    -9,    -1
3478,    -2,    -8,    -1
3488,    -2,    -7,    -1
3498,    -3,    -8,    -2
3508,    -5,    -8,    -2
3518,    -6,    -9,    -3
3528,    -8,   -10,    -3
3538,    -7,    -9,    -3
3548,    -6,    -6,    -4
3558,    -4,    -2,    -5
3568,    -3,     1,    -7
3578,    -2,     1,    -9
3588,    -3,     0,   -10
3598,    -7,    -2,    -9
3608,    -8,    -6,    -9
3618,    -9,    -5,    -9
3628,    -8,    -3,    -9
3638,    -6,     1,   -11
3648,    -4,     3,   -13
3658,    -3,     4,   -13
3668,    -3,     5,   -12
3678,    -5,     6,   -10
3688,    -8,     5,    -9
3698,    -9,     3,    -9
3709,    -8,     1,   -10
3719,    -7,     0,   -10
3729,    -5,     1,    -7
3739,    -6,     2,    -4
3749,    -6,     1,    -3
3759,    -7,    -3,    -1
3769,    -8,    -4,     3
3779,    -8,    -2,     4
3789,    -6,     0,     0
3799,    -3,     0,    -5
3809,    -2,    -1,    -7
3819,    -3,    -1,    -5
3829,    -4,     2,    -2
3839,    -4,     4,    -4
3849,    -2,     3,    -7
3859,     0,     2,   -11
3869,     2,     2,   -13
3878,     4,     3,   -15
3889,     5,     4,   -16
3898,     5,     4,   -17
3908,     4,     1,   -19
3918,     2,     0,   -17
3928,    -3,     1,   -14
3938,    -6,     0,   -14
3948,    -5,    -4,   -15
3958,    -4,    -6,   -16
3968,    -1,    -6,   -15
3978,     2,    -3,   -13
3988,     4,    -2,   -13
3998,     2,    -3,   -12
4008,    -2,    -2,    -9
4018,    -6,    -1,    -6
4028,    -8,    -2,    -5
4038,    -7,    -7,    -4
4048,    -7,   -10,    -1
4058,    -5,   -10,     1
4068,    -5,   -11,     2
4078,    -6,   -13,     2
4088,    -8,   -14,     0
4098,    -9,   -15,    -1
4108,   -11,   -13,     0
4118,   -11,   -10,    -2
4128,    -8,    -9,    -8
4138,    -5,    -6,   -13
4148,    -1,     0,   -19
4158,     4,     4,   -23
4168,     5,     4,   -23
4178,     2,     5,   -19
4188,     0,     6,   -16
4199,    -1,     2,   -16
4210,     1,    -1,   -14
4220,     3,     1,   -13
4230,     6,     3,   -14
4240,     5,     2,   -15
4250,     4,     3,   -16
4261,     5,     4,   -16
4271,     7,     4,   -14
4281,     8,    -1,   -12
4291,    10,    -8,    -9
4301,     8,    -9,    -3
4310,     3,    -4,     2
4319,    -3,    -4,     5
4329,    -9,    -7,     5
4338,   -11,   -10,     5
4348,   -12,   -10,     6
4359,   -12,    -7,     7
4369,   -10,    -4,     6
4379,    -8,    -3,     4
4389,    -7,    -2,     2
4399,    -4,    -2,     0
4409,    -3,    -1,    -1
4419,    -2,    -1,    -3
4429,    -1,    -4,    -4
4439,    -3,    -7,    -2
4449,    -8,    -7,     2
4459,   -12,    -6,     2
4469,   -11,    -4,     1
4479,    -5,    -1,    -2
4489,     2,     4,    -6
4499,     9,     6,    -8
4509,    16,     7,    -7
4519,    17,     9,    -4
4529,    11,     4,     1
4539,     2,    -5,     6
4549,    -6,   -12,    10
4559,   -10,   -14,    13
4571,    -9,    -9,    13
4580,    -3,    -3,     9
4590,     8,     2,     4
4599,    17,     6,    -1
4612,    19,     5,    -4
4621,    15,     2,    -5
4630,     9,    -1,    -5
4639,     1,    -6,    -5
4649,    -5,    -7,    -5
4659,    -6,    -5,    -6
4669,    -6,    -3,    -6
4679,    -4,    -2,    -6
4689,    -1,    -3,    -7
4699,     3,    -5,    -7
4710,     4,     1,    -6
4721,     2,     9,    -5
4731,    -1,     9,    -4
4741,    -4,     5,    -2
4752,    -6,     1,     0
4762,    -6,    -1,     0
4772,    -1,     2,    -2
4782,     5,     8,    -6
4793,    11,    16,   -11
4803,    18,    22,   -15
4812,    23,    25,   -14
4820,    21,    29,    -9
4829,    14,    26,    -5
4839,     6,    18,    -1
4850,    -1,    10,     3
4860,    -7,     3,     9
4870,   -10,     2,    14
4880,   -10,     2,    15
4890,    -6,    -2,    10
4900,    -2,    -2,     6
4910,     3,     7,     3
4920,     8,    17,    -1
4930,    13,    23,    -3
4940,    13,    24,    -6
4950,    13,    20,   -11
4960,    13,    14,   -16
4970,    13,     8,   -18
4979,    13,     4,   -19
4989,    12,     0,   -19
4999,    12,     1,   -17
5009,    11,     7,   -16
5020,     9,    11,   -15
5030,     8,     9,   -15
5039,     6,     7,   -13
5050,     3,     9,    -9
5060,     0,    10,    -4
5070,    -2,     7,     0
5080,    -3,     3,     3
5090,    -4,     2,     5
5100,    -5,     1,     8
5110,    -6,     2,    12
5120,    -5,     6,    14
5130,    -5,     9,    14
5139,     0,     4,     9
5150,    -2,    -5,     4
5162,     2,    -3,     6
